temps	angle
0	0
0.01	0.5625913346
0.02	1.119123313
0.03	1.66919972
0.04	2.212433575
0.05	2.748447363
0.06	3.276873247
0.07	3.797353274
0.08	4.309539573
0.09	4.813094533
0.1	5.307690985
0.11	5.793012364
0.12	6.268752862
0.13	6.734617574
0.14	7.190322629
0.15	7.635595315
0.16	8.070174189
0.17	8.493809185
0.18	8.906261699
0.19	9.307304674
0.2	9.696722674
0.21	10.07431194
0.22	10.43988044
0.23	10.79324792
0.24	11.13424593
0.25	11.46271782
0.26	11.77851881
0.27	12.08151592
0.28	12.37158802
0.29	12.64862577
0.3	12.91253162
0.31	13.16321976
0.32	13.40061608
0.33	13.6246581
0.34	13.83529492
0.35	14.03248715
0.36	14.21620681
0.37	14.38643727
0.38	14.54317309
0.39	14.68641999
0.4	14.81619468
0.41	14.93252477
0.42	15.03544861
0.43	15.12501516
0.44	15.20128387
0.45	15.26432448
0.46	15.31421692
0.47	15.35105108
0.48	15.37492667
0.49	15.38595307
0.5	15.38424906
0.51	15.36994273
0.52	15.34317119
0.53	15.30408044
0.54	15.25282513
0.55	15.18956833
0.56	15.11448136
0.57	15.02774351
0.58	14.92954186
0.59	14.82007103
0.6	14.69953295
0.61	14.56813662
0.62	14.42609784
0.63	14.27363904
0.64	14.11098894
0.65	13.93838238
0.66	13.75606
0.67	13.56426803
0.68	13.36325802
0.69	13.15328657
0.7	12.93461508
0.71	12.70750949
0.72	12.47224002
0.73	12.22908087
0.74	11.97831001
0.75	11.72020887
0.76	11.45506211
0.77	11.18315733
0.78	10.9047848
0.79	10.62023722
0.8	10.32980945
0.81	10.03379821
0.82	9.732501879
0.83	9.426220186
0.84	9.115253973
0.85	8.799904927
0.86	8.480475331
0.87	8.157267807
0.88	7.830585064
0.89	7.50072965
0.9	7.168003706
0.91	6.832708719
0.92	6.495145286
0.93	6.155612872
0.94	5.814409578
0.95	5.47183191
0.96	5.12817455
0.97	4.783730134
0.98	4.438789032
0.99	4.093639132
1	3.748565629
1.01	3.403850817
1.02	3.059773888
1.03	2.71661073
1.04	2.374633741
1.05	2.034111631
