temps	angle
0	0
0.01	0.6570478281
0.02	1.308533298
0.03	1.954176555
0.04	2.593702879
0.05	3.226842784
0.06	3.853332111
0.07	4.472912111
0.08	5.085329539
0.09	5.690336729
0.1	6.287691677
0.11	6.877158114
0.12	7.458505582
0.13	8.031509494
0.14	8.59595121
0.15	9.151618088
0.16	9.69830355
0.17	10.23580713
0.18	10.76393453
0.19	11.28249767
0.2	11.79131472
0.21	12.29021015
0.22	12.77901477
0.23	13.25756576
0.24	13.72570669
0.25	14.18328757
0.26	14.63016484
0.27	15.06620144
0.28	15.49126676
0.29	15.90523673
0.3	16.30799375
0.31	16.69942677
0.32	17.07943123
0.33	17.44790911
0.34	17.80476891
0.35	18.14992563
0.36	18.48330076
0.37	18.80482229
0.38	19.1144247
0.39	19.4120489
0.4	19.69764222
0.41	19.97115844
0.42	20.23255766
0.43	20.48180638
0.44	20.71887739
0.45	20.94374974
0.46	21.15640875
0.47	21.35684592
0.48	21.54505889
0.49	21.72105141
0.5	21.88483328
0.51	22.0364203
0.52	22.17583421
0.53	22.30310263
0.54	22.41825902
0.55	22.52134258
0.56	22.61239821
0.57	22.69147644
0.58	22.75863337
0.59	22.81393057
0.6	22.85743501
0.61	22.88921902
0.62	22.90936017
0.63	22.91794121
0.64	22.91504998
0.65	22.90077934
0.66	22.87522705
0.67	22.83849572
0.68	22.79069271
0.69	22.73193003
0.7	22.66232423
0.71	22.58199636
0.72	22.49107183
0.73	22.3896803
0.74	22.27795563
0.75	22.15603576
0.76	22.02406258
0.77	21.88218188
0.78	21.73054319
0.79	21.56929972
0.8	21.39860824
0.81	21.21862896
0.82	21.02952546
0.83	20.83146452
0.84	20.62461608
0.85	20.40915308
0.86	20.18525138
0.87	19.95308963
0.88	19.71284918
0.89	19.46471393
0.9	19.20887026
0.91	18.94550691
0.92	18.67481484
0.93	18.39698713
0.94	18.1122189
0.95	17.82070715
0.96	17.52265066
0.97	17.21824989
0.98	16.90770687
0.99	16.59122506
1	16.26900927
1.01	15.94126551
1.02	15.60820092
1.03	15.27002363
1.04	14.92694265
1.05	14.57916776
1.06	14.22690943
1.07	13.87037867
1.08	13.50978691
1.09	13.14534595
1.1	12.77726781
1.11	12.40576462
1.12	12.03104853
1.13	11.65333159
1.14	11.27282568
1.15	10.88974235
1.16	10.50429276
1.17	10.11668756
1.18	9.727136806
1.19	9.335849831
1.2	8.943035174
1.21	8.548900473
1.22	8.153652366
1.23	7.757496398
1.24	7.360636929
1.25	6.963277041
1.26	6.565618446
1.27	6.167861398
1.28	5.770204605
1.29	5.372845139
1.3	4.975978357
1.31	4.579797813
1.32	4.184495176
1.33	3.790260153
1.34	3.397280407
1.35	3.005741482
1.36	2.615826724
1.37	2.227717214
1.38	1.841591688
1.39	1.457626474
1.4	1.075995416
1.41	0.696869816
1.42	0.3204183605
1.43	-0.0531929369
1.44	-0.423800799
1.45	-0.7912447442
1.46	-1.155367144
1.47	-1.516013278
1.48	-1.87303139
1.49	-2.226272737
1.5	-2.575591641
1.51	-2.920845536
1.52	-3.261895015
1.53	-3.598603874
1.54	-3.930839155
1.55	-4.258471184
1.56	-4.581373611
