temps	angle
0	0
0.01	0.6257443959
0.02	1.246099179
0.03	1.860707144
0.04	2.469217637
0.05	3.071286732
0.06	3.666577397
0.07	4.254759662
0.08	4.835510766
0.09	5.408515317
0.1	5.97346543
0.11	6.530060872
0.12	7.078009189
0.13	7.617025835
0.14	8.146834294
0.15	8.667166191
0.16	9.177761404
0.17	9.678368163
0.18	10.16874315
0.19	10.64865158
0.2	11.11786729
0.21	11.57617282
0.22	12.02335949
0.23	12.45922743
0.24	12.88358569
0.25	13.29625225
0.26	13.69705408
0.27	14.0858272
0.28	14.46241667
0.29	14.82667666
0.3	15.17847045
0.31	15.51767046
0.32	15.84415824
0.33	16.15782448
0.34	16.45856902
0.35	16.74630083
0.36	17.020938
0.37	17.28240771
0.38	17.53064624
0.39	17.76559888
0.4	17.98721994
0.41	18.1954727
0.42	18.39032935
0.43	18.57177093
0.44	18.73978731
0.45	18.89437709
0.46	19.03554752
0.47	19.16331447
0.48	19.27770234
0.49	19.37874394
0.5	19.46648045
0.51	19.54096127
0.52	19.602244
0.53	19.65039427
0.54	19.68548566
0.55	19.70759959
0.56	19.7168252
0.57	19.71325924
0.58	19.69700592
0.59	19.66817683
0.6	19.62689077
0.61	19.57327362
0.62	19.50745823
0.63	19.42958425
0.64	19.33979799
0.65	19.23825229
0.66	19.12510634
0.67	19.00052557
0.68	18.86468144
0.69	18.71775133
0.7	18.55991834
0.71	18.39137116
0.72	18.21230388
0.73	18.02291583
0.74	17.8234114
0.75	17.6139999
0.76	17.39489535
0.77	17.1663163
0.78	16.92848569
0.79	16.68163065
0.8	16.42598232
0.81	16.16177567
0.82	15.8892493
0.83	15.60864531
0.84	15.32020906
0.85	15.024189
0.86	14.72083651
0.87	14.41040569
0.88	14.09315317
0.89	13.76933796
0.9	13.43922121
0.91	13.10306608
0.92	12.76113751
0.93	12.41370206
0.94	12.06102771
0.95	11.70338371
0.96	11.34104034
0.97	10.97426878
0.98	10.60334088
0.99	10.22852903
1	9.850105934
1.01	9.468344477
1.02	9.083517502
1.03	8.695897665
1.04	8.305757247
1.05	7.913367988
1.06	7.519000911
1.07	7.122926157
1.08	6.725412816
1.09	6.326728761
1.1	5.927140486
1.11	5.526912944
1.12	5.12630939
1.13	4.725591225
1.14	4.32501784
1.15	3.924846464
1.16	3.52533202
1.17	3.126726975
1.18	2.729281197
1.19	2.333241815
1.2	1.938853084
1.21	1.546356246
1.22	1.1559894
1.23	0.7679873751
1.24	0.382581604
1.25	1.856964578e-15
1.26	-0.3795331612
1.27	-0.7557973573
1.28	-1.128575932
1.29	-1.497656202
1.3	-1.862829567
1.31	-2.223891608
1.32	-2.580642185
1.33	-2.932885535
1.34	-3.280430363
1.35	-3.623089928
1.36	-3.960682129
1.37	-4.293029583
1.38	-4.619959705
1.39	-4.941304779
1.4	-5.256902028
1.41	-5.566593679
1.42	-5.870227027
1.43	-6.16765449
1.44	-6.458733665
1.45	-6.74332738
1.46	-7.021303739
1.47	-7.292536163
1.48	-7.556903435
1.49	-7.81428973
1.5	-8.06458465
1.51	-8.30768325
1.52	-8.543486063
1.53	-8.771899123
1.54	-8.992833976
1.55	-9.206207698
1.56	-9.411942903
1.57	-9.60996775
1.58	-9.800215941
1.59	-9.982626724
1.6	-10.15714489
1.61	-10.32372075
1.62	-10.48231015
1.63	-10.63287443
1.64	-10.77538041
1.65	-10.90980038
1.66	-11.03611206
1.67	-11.15429859
1.68	-11.26434848
1.69	-11.36625556
1.7	-11.460019
1.71	-11.54564319
1.72	-11.62313777
1.73	-11.69251752
1.74	-11.75380235
1.75	-11.80701723
1.76	-11.85219213
1.77	-11.88936199
1.78	-11.9185666
1.79	-11.93985061
1.8	-11.95326338
1.81	-11.958859
1.82	-11.95669613
1.83	-11.94683799
1.84	-11.92935227
1.85	-11.904311
1.86	-11.87179056
1.87	-11.83187151
1.88	-11.78463855
1.89	-11.73018044
1.9	-11.66858985
1.91	-11.59996337
1.92	-11.52440131
1.93	-11.44200768
1.94	-11.35289006
1.95	-11.25715951
1.96	-11.15493048
1.97	-11.04632069
1.98	-10.93145103
1.99	-10.81044548
2	-10.68343098
2.01	-10.55053735
2.02	-10.41189715
2.03	-10.26764559
2.04	-10.11792044
2.05	-9.962861894
2.06	-9.802612457
2.07	-9.637316862
2.08	-9.467121939
2.09	-9.292176508
2.1	-9.112631267
2.11	-8.928638681
2.12	-8.740352869
2.13	-8.547929491
2.14	-8.351525635
2.15	-8.151299707
2.16	-7.947411312
2.17	-7.74002115
2.18	-7.529290897
2.19	-7.315383096
2.2	-7.098461045
2.21	-6.878688682
2.22	-6.656230482
2.23	-6.431251338
2.24	-6.203916458
2.25	-5.974391251
2.26	-5.742841222
2.27	-5.509431863
2.28	-5.274328547
2.29	-5.037696422
2.3	-4.799700306
2.31	-4.560504583
2.32	-4.320273101
2.33	-4.079169072
2.34	-3.837354969
2.35	-3.594992429
2.36	-3.352242154
2.37	-3.109263816
2.38	-2.866215964
2.39	-2.623255924
2.4	-2.380539715
2.41	-2.138221956
2.42	-1.896455775
2.43	-1.655392725
2.44	-1.415182698
2.45	-1.17597384
2.46	-0.9379124739
2.47	-0.7011430133
2.48	-0.4658078893
2.49	-0.2320474727
2.5	-2.252611901e-15
2.51	0.2301984987
2.52	0.4584142697
2.53	0.6845159043
2.54	0.9083744044
2.55	1.129863246
2.56	1.348858444
2.57	1.565238607
2.58	1.778884998
2.59	1.989681592
2.6	2.197515124
2.61	2.402275145
2.62	2.603854065
2.63	2.802147208
2.64	2.997052847
2.65	3.188472255
2.66	3.376309737
2.67	3.560472671
2.68	3.740871547
2.69	3.917419991
2.7	4.090034805
2.71	4.258635989
2.72	4.42314677
2.73	4.583493626
2.74	4.739606305
2.75	4.891417848
2.76	5.038864602
2.77	5.181886238
2.78	5.320425762
2.79	5.454429524
2.8	5.583847228
2.81	5.708631938
2.82	5.828740079
2.83	5.94413144
2.84	6.054769173
2.85	6.16061979
2.86	6.261653158
2.87	6.357842491
2.88	6.449164341
2.89	6.535598587
2.9	6.617128419
2.91	6.693740329
2.92	6.765424083
2.93	6.832172712
2.94	6.893982485
2.95	6.950852883
2.96	7.002786583
2.97	7.049789419
2.98	7.091870364
2.99	7.129041492
3	7.161317948
3.01	7.188717913
3.02	7.21126257
3.03	7.228976064
3.04	7.241885465
3.05	7.250020725
3.06	7.253414637
3.07	7.252102791
3.08	7.24612353
3.09	7.235517901
3.1	7.220329607
3.11	7.200604962
3.12	7.176392834
3.13	7.147744597
3.14	7.114714078
3.15	7.077357502
3.16	7.035733434
3.17	6.989902729
