temps	angle
0	0
0.01	0.4692805049
0.02	0.9343529898
0.03	1.394786435
0.04	1.850157889
0.05	2.300052826
0.06	2.744065496
0.07	3.181799253
0.08	3.612866889
0.09	4.036890936
0.1	4.453503971
0.11	4.8623489
0.12	5.263079235
0.13	5.655359355
0.14	6.038864751
0.15	6.413282269
0.16	6.778310323
0.17	7.133659112
0.18	7.479050813
0.19	7.81421976
0.2	8.138912618
0.21	8.452888533
0.22	8.755919275
0.23	9.047789367
0.24	9.328296196
0.25	9.597250112
0.26	9.854474521
0.27	10.09980595
0.28	10.3330941
0.29	10.55420192
0.3	10.76300559
0.31	10.95939459
0.32	11.14327168
0.33	11.31455287
0.34	11.47316744
0.35	11.61905789
0.36	11.75217988
0.37	11.87250218
0.38	11.98000658
0.39	12.07468783
0.4	12.15655355
0.41	12.22562407
0.42	12.28193234
0.43	12.32552382
0.44	12.3564563
0.45	12.37479974
0.46	12.38063612
0.47	12.37405929
0.48	12.35517471
0.49	12.32409932
0.5	12.2809613
0.51	12.22589985
0.52	12.15906497
0.53	12.08061725
0.54	11.99072758
0.55	11.8895769
0.56	11.77735599
0.57	11.65426515
0.58	11.52051394
0.59	11.37632091
0.6	11.2219133
0.61	11.05752672
0.62	10.88340489
0.63	10.6997993
0.64	10.50696894
0.65	10.3051799
0.66	10.09470514
0.67	9.87582411
0.68	9.648822417
0.69	9.413991518
0.7	9.171628364
0.71	8.922035062
0.72	8.665518536
0.73	8.402390179
0.74	8.132965507
0.75	7.857563812
0.76	7.576507811
0.77	7.290123297
0.78	6.998738792
0.79	6.702685193
0.8	6.402295424
0.81	6.097904089
0.82	5.789847121
0.83	5.478461439
0.84	5.164084602
0.85	4.847054468
0.86	4.527708851
0.87	4.206385189
0.88	3.883420205
0.89	3.559149579
0.9	3.23390762
0.91	2.908026945
0.92	2.581838157
0.93	2.255669534
0.94	1.929846716
0.95	1.604692406
0.96	1.280526064
0.97	0.9576636204
0.98	0.6364171855
0.99	0.3170947678
1	1.231357948e-15
1.01	-0.3145681296
1.02	-0.6263155392
1.03	-0.9349533073
1.04	-1.240197921
1.05	-1.541771516
1.06	-1.839402109
