temps	angle
0	0
0.01	0.7657896268
0.02	1.523571988
0.03	2.273043278
0.04	3.013906921
0.05	3.745873645
0.06	4.468661563
0.07	5.181996234
0.08	5.885610734
0.09	6.579245712
0.1	7.262649449
0.11	7.935577909
0.12	8.597794783
0.13	9.249071536
0.14	9.889187442
0.15	10.51792962
0.16	11.13509306
0.17	11.74048066
0.18	12.33390323
0.19	12.91517951
0.2	13.48413622
0.21	14.040608
0.22	14.58443748
0.23	15.11547525
0.24	15.63357985
0.25	16.13861777
0.26	16.63046347
0.27	17.10899929
0.28	17.57411552
0.29	18.0257103
0.3	18.46368965
0.31	18.88796739
0.32	19.29846516
0.33	19.69511233
0.34	20.07784599
0.35	20.4466109
0.36	20.80135944
0.37	21.14205155
0.38	21.46865469
0.39	21.78114376
0.4	22.07950106
0.41	22.36371623
0.42	22.63378615
0.43	22.88971489
0.44	23.13151366
0.45	23.35920068
0.46	23.57280115
0.47	23.77234714
0.48	23.9578775
0.49	24.12943781
0.5	24.28708026
0.51	24.43086355
0.52	24.56085282
0.53	24.67711954
0.54	24.77974143
0.55	24.8688023
0.56	24.94439204
0.57	25.00660642
0.58	25.05554705
0.59	25.09132124
0.6	25.11404189
0.61	25.12382739
0.62	25.1208015
0.63	25.10509322
0.64	25.07683669
0.65	25.03617107
0.66	24.98324041
0.67	24.91819354
0.68	24.84118393
0.69	24.75236958
0.7	24.6519129
0.71	24.53998057
0.72	24.41674342
0.73	24.28237629
0.74	24.13705792
0.75	23.98097084
0.76	23.81430116
0.77	23.63723854
0.78	23.44997599
0.79	23.25270976
0.8	23.04563923
0.81	22.82896673
0.82	22.60289746
0.83	22.36763931
0.84	22.12340278
0.85	21.87040079
0.86	21.60884859
0.87	21.33896363
0.88	21.06096539
0.89	20.77507528
0.9	20.4815165
0.91	20.18051391
0.92	19.87229391
0.93	19.55708428
0.94	19.23511409
0.95	18.90661354
0.96	18.57181385
0.97	18.23094712
0.98	17.88424621
0.99	17.53194464
1	17.1742764
1.01	16.81147589
1.02	16.44377779
1.03	16.0714169
1.04	15.69462805
1.05	15.31364597
1.06	14.92870518
1.07	14.54003988
1.08	14.14788381
1.09	13.75247016
1.1	13.35403144
1.11	12.95279938
1.12	12.54900482
1.13	12.14287761
1.14	11.73464647
1.15	11.32453892
1.16	10.91278118
1.17	10.49959804
1.18	10.08521276
1.19	9.669847024
1.2	9.253720773
1.21	8.837052159
1.22	8.420057437
1.23	8.002950873
1.24	7.585944659
1.25	7.169248824
1.26	6.75307115
1.27	6.337617092
1.28	5.92308969
1.29	5.509689498
1.3	5.097614503
