temps	angle
0	0
0.01	0.6564051456
0.02	1.306030568
0.03	1.948697909
0.04	2.58423322
0.05	3.212466977
0.06	3.833234112
0.07	4.44637402
0.08	5.051730583
0.09	5.64915218
0.1	6.238491701
0.11	6.81960656
0.12	7.3923587
0.13	7.956614604
0.14	8.512245295
0.15	9.059126348
0.16	9.597137883
0.17	10.12616457
0.18	10.64609563
0.19	11.15682482
0.2	11.65825044
0.21	12.15027533
0.22	12.63280685
0.23	13.10575685
0.24	13.56904173
0.25	14.02258234
0.26	14.46630403
0.27	14.90013657
0.28	15.32401423
0.29	15.73787564
0.3	16.14166387
0.31	16.53532637
0.32	16.91881491
0.33	17.29208562
0.34	17.65509893
0.35	18.00781952
0.36	18.35021636
0.37	18.6822626
0.38	19.00393558
0.39	19.3152168
0.4	19.61609186
0.41	19.90655047
0.42	20.18658636
0.43	20.45619727
0.44	20.71538491
0.45	20.96415492
0.46	21.20251682
0.47	21.43048398
0.48	21.64807356
0.49	21.85530649
0.5	22.05220741
0.51	22.2388046
0.52	22.41512998
0.53	22.58121905
0.54	22.7371108
0.55	22.88284772
0.56	23.01847569
0.57	23.14404398
0.58	23.25960517
0.59	23.36521511
0.6	23.46093285
0.61	23.54682059
0.62	23.62294366
0.63	23.6893704
0.64	23.74617217
0.65	23.79342322
0.66	23.83120073
0.67	23.85958465
0.68	23.87865771
0.69	23.88850534
0.7	23.88921561
0.71	23.88087917
0.72	23.86358919
0.73	23.8374413
0.74	23.80253353
0.75	23.75896625
0.76	23.70684212
0.77	23.646266
0.78	23.5773449
0.79	23.50018795
0.8	23.41490629
0.81	23.32161302
0.82	23.22042318
0.83	23.11145362
0.84	22.99482298
0.85	22.87065162
0.86	22.73906157
0.87	22.60017644
0.88	22.45412136
0.89	22.30102295
0.9	22.14100921
0.91	21.97420952
0.92	21.80075449
0.93	21.62077601
0.94	21.43440706
0.95	21.24178177
0.96	21.04303527
0.97	20.83830368
0.98	20.62772402
0.99	20.41143417
1	20.18957277
1.01	19.96227923
1.02	19.72969359
1.03	19.49195654
1.04	19.24920928
1.05	19.00159352
1.06	18.7492514
1.07	18.49232545
1.08	18.23095847
1.09	17.96529358
1.1	17.69547405
1.11	17.42164333
1.12	17.14394495
1.13	16.86252247
1.14	16.57751943
1.15	16.28907931
1.16	15.99734546
1.17	15.70246103
1.18	15.40456896
1.19	15.1038119
1.2	14.80033217
1.21	14.49427168
1.22	14.18577194
1.23	13.87497394
1.24	13.56201817
1.25	13.2470445
1.26	12.93019222
1.27	12.6115999
1.28	12.29140542
1.29	11.96974588
1.3	11.64675756
1.31	11.32257592
1.32	10.9973355
1.33	10.67116989
1.34	10.34421173
1.35	10.01659263
1.36	9.688443121
1.37	9.359892664
1.38	9.031069569
1.39	8.702100975
1.4	8.373112811
