temps	angle
0	0
0.01	0.5631542073
0.02	1.1213638
0.03	1.674214838
0.04	2.221301032
0.05	2.762224012
0.06	3.296593588
0.07	3.824028
0.08	4.344154163
0.09	4.8566079
0.1	5.361034166
0.11	5.857087266
0.12	6.344431058
0.13	6.822739152
0.14	7.291695097
0.15	7.75099256
0.16	8.20033549
0.17	8.639438281
0.18	9.06802592
0.19	9.485834122
0.2	9.892609466
0.21	10.28810951
0.22	10.67210289
0.23	11.04436945
0.24	11.4047003
0.25	11.7528979
0.26	12.08877616
0.27	12.41216046
0.28	12.72288772
0.29	13.02080645
0.3	13.30577675
0.31	13.57767037
0.32	13.83637068
0.33	14.08177272
0.34	14.31378315
0.35	14.53232026
0.36	14.73731391
0.37	14.92870554
0.38	15.10644811
0.39	15.27050601
0.4	15.42085506
0.41	15.55748237
0.42	15.68038634
0.43	15.78957648
0.44	15.88507341
0.45	15.96690867
0.46	16.03512466
0.47	16.0897745
0.48	16.13092189
0.49	16.15864103
0.5	16.17301638
0.51	16.1741426
0.52	16.16212434
0.53	16.13707611
0.54	16.09912206
0.55	16.04839586
0.56	15.98504048
0.57	15.90920798
0.58	15.82105939
0.59	15.72076442
0.6	15.60850131
0.61	15.48445659
0.62	15.34882489
0.63	15.20180867
0.64	15.04361805
0.65	14.87447054
0.66	14.69459081
0.67	14.50421047
0.68	14.30356779
0.69	14.0929075
0.7	13.87248049
0.71	13.64254362
0.72	13.40335939
0.73	13.15519573
0.74	12.89832573
0.75	12.63302739
0.76	12.35958331
0.77	12.07828046
0.78	11.78940994
0.79	11.49326663
0.8	11.19014899
0.81	10.88035876
0.82	10.56420071
0.83	10.24198233
0.84	9.914013595
0.85	9.580606679
0.86	9.242075683
0.87	8.898736366
0.88	8.550905878
0.89	8.198902489
0.9	7.84304532
0.91	7.483654082
0.92	7.121048805
0.93	6.755549584
0.94	6.387476309
0.95	6.017148413
0.96	5.644884617
0.97	5.271002673
0.98	4.895819113
0.99	4.519649009
1	4.142805718
1.01	3.765600651
1.02	3.38834303
1.03	3.011339657
1.04	2.634894679
1.05	2.259309371
1.06	1.884881907
1.07	1.511907144
1.08	1.140676411
1.09	0.771477299
1.1	0.4045934572
1.11	0.04030439477
1.12	-0.3211147138
1.13	-0.6793932173
1.14	-1.034265172
1.15	-1.385469519
1.16	-1.732750259
1.17	-2.075856618
1.18	-2.414543212
1.19	-2.748570201
1.2	-3.077703438
1.21	-3.401714619
1.22	-3.720381418
1.23	-4.033487621
1.24	-4.340823251
1.25	-4.642184694
1.26	-4.937374807
1.27	-5.226203031
1.28	-5.508485493
1.29	-5.784045099
1.3	-6.052711629
1.31	-6.314321813
1.32	-6.568719417
1.33	-6.815755308
