temps	angle
0	0
0.01	0.7821341748
0.02	1.557254983
0.03	2.324644058
0.04	3.083596482
0.05	3.833421377
0.06	4.573442493
0.07	5.302998756
0.08	6.021444815
0.09	6.72815156
0.1	7.422506618
0.11	8.103914833
0.12	8.771798725
0.13	9.425598925
0.14	10.06477459
0.15	10.68880378
0.16	11.29718387
0.17	11.88943185
0.18	12.46508469
0.19	13.0236996
0.2	13.56485436
0.21	14.08814756
0.22	14.59319879
0.23	15.07964895
0.24	15.54716033
0.25	15.99541685
0.26	16.4241242
0.27	16.83300991
0.28	17.2218235
0.29	17.59033653
0.3	17.93834265
0.31	18.26565765
0.32	18.57211946
0.33	18.85758811
0.34	19.12194574
0.35	19.36509649
0.36	19.58696647
0.37	19.78750363
0.38	19.96667763
0.39	20.12447972
0.4	20.26092258
0.41	20.37604011
0.42	20.46988724
0.43	20.54253971
0.44	20.59409383
0.45	20.62466623
0.46	20.63439354
0.47	20.62343215
0.48	20.59195785
0.49	20.54016553
0.5	20.46826883
0.51	20.37649974
0.52	20.26510829
0.53	20.13436209
0.54	19.98454596
0.55	19.8159615
0.56	19.62892665
0.57	19.42377524
0.58	19.20085657
0.59	18.96053486
0.6	18.70318883
0.61	18.42921119
0.62	18.13900814
0.63	17.83299884
0.64	17.5116149
0.65	17.17529984
0.66	16.82450857
0.67	16.45970685
0.68	16.0813707
0.69	15.68998586
0.7	15.28604727
0.71	14.87005844
0.72	14.44253089
0.73	14.00398363
0.74	13.55494251
0.75	13.09593969
0.76	12.62751302
0.77	12.1502055
0.78	11.66456465
0.79	11.17114199
0.8	10.67049237
0.81	10.16317348
0.82	9.649745202
0.83	9.130769065
0.84	8.606807671
0.85	8.078424113
0.86	7.546181419
0.87	7.010641982
0.88	6.472367008
0.89	5.931915964
0.9	5.389846033
0.91	4.846711575
0.92	4.303063595
0.93	3.759449223
0.94	3.216411194
0.95	2.674487343
0.96	2.134210106
0.97	1.596106034
0.98	1.060695309
0.99	0.5284912796
1	2.052263247e-15
1.01	-0.5242802161
1.02	-1.043859232
1.03	-1.558255512
1.04	-2.066996535
1.05	-2.569619194
1.06	-3.065670182
1.07	-3.55470637
1.08	-4.036295166
1.09	-4.510014864
1.1	-4.975454978
1.11	-5.432216564
1.12	-5.879912525
1.13	-6.318167905
1.14	-6.746620164
1.15	-7.164919443
1.16	-7.572728813
1.17	-7.969724508
1.18	-8.355596142
1.19	-8.730046916
1.2	-9.092793802
1.21	-9.443567718
1.22	-9.782113686
1.23	-10.10819098
1.24	-10.42157323
1.25	-10.72204856
1.26	-11.00941969
1.27	-11.28350398
1.28	-11.54413352
1.29	-11.79115519
1.3	-12.02443067
1.31	-12.24383648
1.32	-12.44926397
1.33	-12.64061933
1.34	-12.81782355
1.35	-12.98081237
1.36	-13.12953627
1.37	-13.26396034
1.38	-13.38406427
1.39	-13.48984217
1.4	-13.58130256
1.41	-13.65846814
1.42	-13.72137575
1.43	-13.77007616
1.44	-13.80463393
1.45	-13.82512721
1.46	-13.83164763
1.47	-13.82429999
1.48	-13.80320213
1.49	-13.7684847
1.5	-13.7202909
1.51	-13.65877625
1.52	-13.58410832
1.53	-13.49646652
1.54	-13.39604177
1.55	-13.28303622
1.56	-13.15766301
1.57	-13.02014592
1.58	-12.87071906
1.59	-12.7096266
1.6	-12.5371224
1.61	-12.3534697
1.62	-12.15894077
1.63	-11.9538166
1.64	-11.7383865
1.65	-11.51294778
1.66	-11.27780536
1.67	-11.03327145
1.68	-10.77966514
1.69	-10.51731205
1.7	-10.24654391
1.71	-9.967698256
1.72	-9.681117973
1.73	-9.387150953
1.74	-9.086149689
1.75	-8.778470894
1.76	-8.464475107
1.77	-8.144526307
1.78	-7.818991516
1.79	-7.488240412
1.8	-7.152644939
1.81	-6.812578916
1.82	-6.468417648
1.83	-6.12053754
1.84	-5.769315714
1.85	-5.415129624
1.86	-5.058356676
1.87	-4.699373856
1.88	-4.338557351
1.89	-3.976282182
1.9	-3.612921841
1.91	-3.248847926
1.92	-2.884429787
1.93	-2.520034176
1.94	-2.1560249
1.95	-1.792762479
1.96	-1.430603817
1.97	-1.06990187
1.98	-0.7110053284
1.99	-0.3542582989
2	-2.751346388e-15
2.01	0.3514355386
2.02	0.6997197684
2.03	1.044529907
2.04	1.385549213
2.05	1.722467256
2.06	2.054980178
2.07	2.382790938
2.08	2.705609561
2.09	3.023153371
2.1	3.33514721
2.11	3.641323657
2.12	3.941423235
2.13	4.235194601
2.14	4.522394739
2.15	4.802789131
2.16	5.076151926
2.17	5.342266099
2.18	5.600923591
2.19	5.851925451
2.2	6.09508196
2.21	6.330212747
2.22	6.557146897
2.23	6.77572304
2.24	6.985789444
2.25	7.187204086
2.26	7.379834714
2.27	7.563558907
2.28	7.738264114
2.29	7.90384769
2.3	8.06021692
2.31	8.207289032
2.32	8.344991198
2.33	8.473260532
2.34	8.59204407
2.35	8.701298746
2.36	8.800991355
2.37	8.891098507
2.38	8.971606575
2.39	9.042511627
2.4	9.103819356
2.41	9.155544995
2.42	9.197713228
2.43	9.230358087
2.44	9.253522848
2.45	9.267259911
2.46	9.271630674
2.47	9.266705403
2.48	9.252563089
2.49	9.229291301
2.5	9.196986029
2.51	9.155751522
2.52	9.105700116
2.53	9.046952061
2.54	8.979635334
2.55	8.903885452
2.56	8.819845276
2.57	8.72766481
2.58	8.627500992
2.59	8.519517486
2.6	8.403884462
2.61	8.280778376
2.62	8.15038174
2.63	8.012882896
2.64	7.868475781
2.65	7.717359684
2.66	7.559739009
2.67	7.395823028
2.68	7.225825636
2.69	7.049965095
2.7	6.868463787
2.71	6.681547954
2.72	6.489447446
2.73	6.292395459
2.74	6.090628278
2.75	5.884385014
2.76	5.673907344
2.77	5.459439249
2.78	5.241226753
2.79	5.019517658
2.8	4.794561285
2.81	4.566608213
2.82	4.335910015
2.83	4.102719006
2.84	3.867287975
2.85	3.629869939
2.86	3.39071788
2.87	3.150084499
2.88	2.908221963
2.89	2.665381655
2.9	2.421813935
2.91	2.177767891
2.92	1.933491108
2.93	1.689229425
2.94	1.44522671
2.95	1.201724627
2.96	0.9589624163
2.97	0.7171766709
2.98	0.4766011245
2.99	0.2374664392
3	2.766423957e-15
3.01	-0.2355742864
3.02	-0.4690361874
3.03	-0.7001693351
3.04	-0.9287614121
3.05	-1.154604331
3.06	-1.377494407
3.07	-1.597232531
3.08	-1.813624326
3.09	-2.026480307
3.1	-2.235616031
3.11	-2.440852242
3.12	-2.642015004
3.13	-2.83893584
3.14	-3.031451849
3.15	-3.219405831
3.16	-3.402646393
3.17	-3.581028057
3.18	-3.754411359
3.19	-3.922662937
3.2	-4.08565562
3.21	-4.2432685
3.22	-4.39538701
3.23	-4.54190298
3.24	-4.682714702
3.25	-4.817726974
3.26	-4.946851145
3.27	-5.070005155
3.28	-5.187113557
3.29	-5.298107548
3.3	-5.402924977
3.31	-5.501510362
3.32	-5.593814884
3.33	-5.67979639
3.34	-5.759419376
3.35	-5.832654976
3.36	-5.89948093
3.37	-5.959881561
3.38	-6.013847732
3.39	-6.06137681
3.4	-6.10247261
3.41	-6.137145343
3.42	-6.165411554
3.43	-6.187294058
3.44	-6.202821862
3.45	-6.21203009
3.46	-6.2149599
3.47	-6.211658392
3.48	-6.202178516
3.49	-6.18657897
3.5	-6.164924099
3.51	-6.137283782
3.52	-6.103733321
3.53	-6.064353322
3.54	-6.019229571
3.55	-5.968452906
3.56	-5.912119092
3.57	-5.850328677
3.58	-5.783186862
3.59	-5.710803353
3.6	-5.63329222
3.61	-5.550771742
3.62	-5.463364263
3.63	-5.371196032
3.64	-5.274397048
3.65	-5.173100898
3.66	-5.0674446
3.67	-4.957568433
3.68	-4.843615773
3.69	-4.725732927
3.7	-4.604068962
3.71	-4.478775532
3.72	-4.350006711
3.73	-4.217918814
3.74	-4.082670228
3.75	-3.944421233
3.76	-3.803333832
3.77	-3.659571569
3.78	-3.513299358
3.79	-3.364683307
3.8	-3.213890541
3.81	-3.061089027
3.82	-2.906447401
3.83	-2.750134793
3.84	-2.592320653
3.85	-2.433174584
3.86	-2.272866165
3.87	-2.111564787
3.88	-1.94943948
3.89	-1.786658754
3.9	-1.623390428
3.91	-1.459801473
3.92	-1.296057848
3.93	-1.132324346
3.94	-0.9687644348
3.95	-0.8055401075
3.96	-0.642811731
3.97	-0.480737899
3.98	-0.3194752877
3.99	-0.1591785145
4	-2.472519245e-15
4.01	0.1579101665
4.02	0.3144043587
4.03	0.469337541
4.04	0.6225673925
4.05	0.7739544281
4.06	0.9233621145
4.07	1.070656984
4.08	1.215708742
4.09	1.358390373
4.1	1.498578241
4.11	1.636152187
4.12	1.770995619
4.13	1.902995603
4.14	2.032042943
4.15	2.158032265
4.16	2.280862087
4.17	2.400434892
4.18	2.516657195
4.19	2.629439601
4.2	2.738696863
4.21	2.844347936
4.22	2.946316023
4.23	3.044528615
4.24	3.138917535
4.25	3.229418967
4.26	3.315973487
4.27	3.398526089
4.28	3.477026198
4.29	3.551427695
4.3	3.621688919
4.31	3.687772679
4.32	3.749646251
4.33	3.807281377
4.34	3.860654262
4.35	3.909745552
4.36	3.954540329
4.37	3.995028082
4.38	4.031202689
4.39	4.063062383
4.4	4.090609721
4.41	4.113851549
4.42	4.132798957
4.43	4.147467238
4.44	4.157875836
4.45	4.164048296
4.46	4.166012206
4.47	4.163799139
4.48	4.157444588
4.49	4.1469879
4.5	4.132472206
4.51	4.113944347
4.52	4.091454801
4.53	4.065057598
4.54	4.034810243
4.55	4.000773627
4.56	3.963011942
4.57	3.921592588
4.58	3.876586084
4.59	3.828065967
4.6	3.7761087
4.61	3.72079357
4.62	3.662202584
4.63	3.600420371
4.64	3.535534072
4.65	3.467633232
4.66	3.396809698
4.67	3.3231575
4.68	3.246772748
4.69	3.167753513
4.7	3.086199718
4.71	3.002213021
4.72	2.915896698
4.73	2.827355533
4.74	2.736695695
4.75	2.644024623
4.76	2.549450909
4.77	2.453084182
4.78	2.355034987
4.79	2.25541467
4.8	2.154335256
4.81	2.051909338
4.82	1.948249956
4.83	1.843470481
4.84	1.7376845
4.85	1.631005699
4.86	1.523547753
4.87	1.415424205
4.88	1.306748362
4.89	1.197633178
4.9	1.088191147
4.91	0.9785341907
4.92	0.8687735566
4.93	0.7590197078
4.94	0.6493822205
4.95	0.5399696819
4.96	0.4308895891
4.97	0.3222482506
4.98	0.2141506896
4.99	0.1067005491
5	2.071724018e-15
5.01	-0.1058503501
5.02	-0.2107515442
5.03	-0.3146063621
5.04	-0.4173194032
5.05	-0.5187971679
5.06	-0.6189481351
5.07	-0.7176828386
5.08	-0.8149139396
5.09	-0.9105562971
5.1	-1.004527035
5.11	-1.096745609
5.12	-1.187133865
5.13	-1.2756161
5.14	-1.362119119
5.15	-1.446572287
5.16	-1.528907579
5.17	-1.609059627
5.18	-1.686965767
5.19	-1.762566074
5.2	-1.835803407
5.21	-1.90662344
5.22	-1.974974692
5.23	-2.040808561
5.24	-2.104079346
5.25	-2.16474427
5.26	-2.222763501
5.27	-2.278100164
5.28	-2.330720361
5.29	-2.380593176
5.3	-2.427690683
5.31	-2.471987952
5.32	-2.513463047
5.33	-2.552097028
5.34	-2.587873942
5.35	-2.620780818
5.36	-2.650807655
5.37	-2.677947408
5.38	-2.702195972
5.39	-2.723552163
5.4	-2.742017696
5.41	-2.757597159
5.42	-2.770297987
5.43	-2.78013043
5.44	-2.787107522
5.45	-2.791245045
5.46	-2.792561494
5.47	-2.791078031
5.48	-2.786818448
5.49	-2.77980912
5.5	-2.770078959
5.51	-2.757659364
5.52	-2.74258417
5.53	-2.724889596
5.54	-2.704614188
5.55	-2.681798762
5.56	-2.656486347
5.57	-2.628722124
5.58	-2.598553362
5.59	-2.566029355
5.6	-2.531201358
5.61	-2.494122517
5.62	-2.454847805
5.63	-2.413433949
5.64	-2.369939362
5.65	-2.324424068
5.66	-2.276949633
5.67	-2.227579088
5.68	-2.176376858
5.69	-2.123408681
5.7	-2.068741537
5.71	-2.01244357
5.72	-1.954584009
5.73	-1.895233091
5.74	-1.834461984
5.75	-1.772342707
5.76	-1.708948051
5.77	-1.644351502
