temps	angle
0	0
0.01	0.5000951714
0.02	0.9948875772
0.03	1.48410671
0.04	1.967488395
0.05	2.4447749
0.06	2.91571504
0.07	3.380064274
0.08	3.837584803
0.09	4.288045654
0.1	4.731222765
0.11	5.166899061
0.12	5.594864531
0.13	6.014916287
0.14	6.426858633
0.15	6.830503118
0.16	7.225668588
0.17	7.61218123
0.18	7.989874614
0.19	8.35858973
0.2	8.718175012
0.21	9.068486372
0.22	9.40938721
0.23	9.740748438
0.24	10.06244848
0.25	10.37437329
0.26	10.67641633
0.27	10.9684786
0.28	11.25046858
0.29	11.52230226
0.3	11.78390309
0.31	12.03520197
0.32	12.27613723
0.33	12.50665458
0.34	12.72670706
0.35	12.93625502
0.36	13.1352661
0.37	13.3237151
0.38	13.501584
0.39	13.66886185
0.4	13.82554477
0.41	13.97163578
0.42	14.10714485
0.43	14.23208873
0.44	14.34649091
0.45	14.45038153
0.46	14.54379732
0.47	14.62678147
0.48	14.69938355
0.49	14.76165944
0.5	14.81367119
0.51	14.85548696
0.52	14.88718087
0.53	14.90883293
0.54	14.92052892
0.55	14.92236025
0.56	14.91442389
0.57	14.89682221
0.58	14.86966288
0.59	14.83305875
0.6	14.7871277
0.61	14.73199256
0.62	14.66778093
0.63	14.59462506
0.64	14.51266177
0.65	14.42203222
0.66	14.32288187
0.67	14.21536027
0.68	14.09962097
0.69	13.97582136
0.7	13.84412253
0.71	13.7046891
0.72	13.55768915
0.73	13.40329401
0.74	13.24167813
0.75	13.07301894
0.76	12.89749673
0.77	12.71529447
0.78	12.52659765
0.79	12.33159418
0.8	12.13047423
0.81	11.92343005
0.82	11.71065586
0.83	11.4923477
0.84	11.26870325
0.85	11.03992173
0.86	10.80620373
0.87	10.56775107
0.88	10.32476664
0.89	10.07745431
0.9	9.826018696
0.91	9.570665117
0.92	9.311599387
0.93	9.049027702
0.94	8.783156499
0.95	8.514192312
0.96	8.242341646
0.97	7.967810834
0.98	7.690805907
0.99	7.411532463
1	7.130195537
1.01	6.846999471
1.02	6.56214779
1.03	6.275843074
1.04	5.988286836
1.05	5.699679404
1.06	5.410219799
1.07	5.120105615
1.08	4.829532913
1.09	4.538696099
1.1	4.247787817
1.11	3.956998844
1.12	3.666517978
1.13	3.376531938
1.14	3.087225262
1.15	2.798780207
1.16	2.511376654
1.17	2.225192016
1.18	1.940401141
1.19	1.657176228
1.2	1.375686739
1.21	1.096099318
1.22	0.818577705
1.23	0.5432826633
1.24	0.2703719012
1.25	1.31101239e-15
1.26	-0.2676816558
1.27	-0.5325249458
1.28	-0.7943850776
1.29	-1.053120649
1.3	-1.308593705
1.31	-1.560669797
1.32	-1.809218032
1.33	-2.054111124
1.34	-2.295225442
1.35	-2.532441056
1.36	-2.765641773
1.37	-2.994715181
1.38	-3.219552684
1.39	-3.440049533
1.4	-3.656104857
1.41	-3.86762169
1.42	-4.074506999
1.43	-4.2766717
1.44	-4.474030679
1.45	-4.666502811
1.46	-4.85401097
1.47	-5.03648204
1.48	-5.213846924
1.49	-5.386040549
1.5	-5.553001868
1.51	-5.714673859
1.52	-5.871003524
1.53	-6.021941883
1.54	-6.167443965
1.55	-6.307468799
1.56	-6.4419794
1.57	-6.570942753
1.58	-6.694329795
1.59	-6.812115399
1.6	-6.924278344
1.61	-7.030801296
1.62	-7.131670777
1.63	-7.226877137
1.64	-7.316414522
1.65	-7.400280841
1.66	-7.478477729
1.67	-7.551010506
1.68	-7.617888144
1.69	-7.679123216
1.7	-7.734731861
1.71	-7.78473373
1.72	-7.829151943
1.73	-7.868013038
1.74	-7.901346919
1.75	-7.929186804
1.76	-7.951569171
1.77	-7.968533699
1.78	-7.980123214
1.79	-7.986383624
1.8	-7.987363866
1.81	-7.983115837
1.82	-7.973694336
1.83	-7.959156995
1.84	-7.939564214
1.85	-7.914979098
1.86	-7.885467383
1.87	-7.851097372
1.88	-7.811939861
1.89	-7.768068069
1.9	-7.719557568
1.91	-7.666486208
1.92	-7.608934044
1.93	-7.546983264
1.94	-7.480718108
1.95	-7.4102248
1.96	-7.335591467
1.97	-7.256908064
1.98	-7.174266299
1.99	-7.08775955
2	-6.997482795
2.01	-6.903532527
2.02	-6.80600668
2.03	-6.705004551
2.04	-6.600626718
2.05	-6.492974965
2.06	-6.382152201
2.07	-6.268262386
2.08	-6.151410445
2.09	-6.031702198
2.1	-5.909244275
2.11	-5.784144045
2.12	-5.656509532
2.13	-5.526449343
2.14	-5.394072587
2.15	-5.259488804
2.16	-5.122807882
2.17	-4.98413999
2.18	-4.843595495
2.19	-4.701284894
2.2	-4.55731874
2.21	-4.411807564
2.22	-4.264861809
2.23	-4.116591756
2.24	-3.967107454
2.25	-3.816518649
2.26	-3.664934718
2.27	-3.5124646
2.28	-3.359216729
2.29	-3.205298966
2.3	-3.05081854
2.31	-2.895881978
2.32	-2.740595046
2.33	-2.585062686
2.34	-2.429388957
2.35	-2.273676975
2.36	-2.118028854
2.37	-1.962545651
2.38	-1.807327309
2.39	-1.652472604
2.4	-1.498079092
2.41	-1.344243056
2.42	-1.191059457
2.43	-1.038621887
2.44	-0.887022515
2.45	-0.7363520493
2.46	-0.5866996867
2.47	-0.4381530717
2.48	-0.2907982544
2.49	-0.1447196501
2.5	-1.40346873e-15
2.51	0.1432796655
2.52	0.2850400632
2.53	0.4252036915
2.54	0.5636948629
2.55	0.7004397361
2.56	0.8353663452
2.57	0.9684046283
2.58	1.099486455
2.59	1.228545649
2.6	1.355518017
2.61	1.480341366
2.62	1.602955526
2.63	1.723302369
2.64	1.841325827
2.65	1.956971908
2.66	2.070188711
2.67	2.180926437
2.68	2.289137403
2.69	2.394776052
2.7	2.497798961
2.71	2.598164846
2.72	2.695834571
2.73	2.790771153
2.74	2.882939758
2.75	2.972307712
2.76	3.058844493
2.77	3.142521733
2.78	3.223313215
2.79	3.301194867
2.8	3.37614476
2.81	3.448143096
2.82	3.517172204
2.83	3.583216529
2.84	3.64626262
2.85	3.706299118
2.86	3.763316745
2.87	3.817308288
2.88	3.86826858
2.89	3.916194489
2.9	3.961084895
2.91	4.002940672
2.92	4.04176467
2.93	4.07756169
2.94	4.110338463
2.95	4.140103625
2.96	4.166867697
2.97	4.190643053
2.98	4.211443898
2.99	4.229286239
3	4.244187856
3.01	4.256168274
3.02	4.265248731
3.03	4.271452151
3.04	4.274803107
3.05	4.275327793
3.06	4.273053987
3.07	4.268011021
3.08	4.260229743
3.09	4.249742483
3.1	4.236583019
3.11	4.220786536
3.12	4.202389595
3.13	4.181430089
3.14	4.157947211
3.15	4.131981411
3.16	4.103574359
3.17	4.072768906
3.18	4.039609043
3.19	4.004139861
3.2	3.966407512
3.21	3.926459167
3.22	3.884342977
3.23	3.840108028
3.24	3.793804302
3.25	3.745482637
3.26	3.695194682
3.27	3.642992858
3.28	3.588930314
3.29	3.533060886
3.3	3.475439055
3.31	3.416119904
3.32	3.355159079
3.33	3.292612742
3.34	3.228537535
3.35	3.162990532
3.36	3.096029204
3.37	3.027711373
3.38	2.95809517
3.39	2.887238999
3.4	2.81520149
3.41	2.742041465
3.42	2.667817891
3.43	2.592589844
3.44	2.516416468
3.45	2.439356939
3.46	2.361470419
3.47	2.282816024
3.48	2.203452784
3.49	2.123439603
3.5	2.042835224
3.51	1.961698193
3.52	1.88008682
3.53	1.798059145
3.54	1.715672904
3.55	1.63298549
3.56	1.550053924
3.57	1.466934819
3.58	1.383684346
3.59	1.300358204
3.6	1.217011586
3.61	1.13369915
3.62	1.050474989
3.63	0.967392597
3.64	0.8845048464
3.65	0.8018639546
3.66	0.7195214582
3.67	0.6375281866
3.68	0.5559342347
3.69	0.4747889385
3.7	0.3941408498
3.71	0.3140377124
3.72	0.2345264391
3.73	0.1556530891
3.74	0.07746284663
3.75	1.126834016e-15
3.76	-0.07669207843
3.77	-0.1525709514
3.78	-0.2275951353
3.79	-0.3017241176
3.8	-0.3749183737
3.81	-0.4471393832
3.82	-0.5183496447
3.83	-0.5885126903
3.84	-0.6575930991
3.85	-0.7255565103
3.86	-0.7923696343
3.87	-0.8580002646
3.88	-0.9224172877
3.89	-0.9855906926
3.9	-1.047491579
3.91	-1.108092167
3.92	-1.1673658
3.93	-1.225286957
3.94	-1.281831251
3.95	-1.33697544
3.96	-1.390697427
3.97	-1.442976264
3.98	-1.493792154
3.99	-1.543126453
4	-1.590961672
4.01	-1.637281473
4.02	-1.682070672
4.03	-1.725315236
4.04	-1.76700228
4.05	-1.807120067
4.06	-1.845657999
4.07	-1.882606618
4.08	-1.917957598
4.09	-1.951703739
4.1	-1.98383896
4.11	-2.014358297
4.12	-2.043257887
4.13	-2.070534966
4.14	-2.096187856
4.15	-2.120215959
4.16	-2.142619742
4.17	-2.163400731
4.18	-2.182561495
4.19	-2.200105637
4.2	-2.216037781
4.21	-2.230363556
4.22	-2.243089587
4.23	-2.254223477
4.24	-2.263773794
4.25	-2.271750055
4.26	-2.27816271
4.27	-2.283023129
4.28	-2.28634358
4.29	-2.288137218
4.3	-2.288418062
4.31	-2.287200981
4.32	-2.284501676
4.33	-2.280336658
4.34	-2.274723232
4.35	-2.267679479
4.36	-2.259224231
4.37	-2.249377058
4.38	-2.238158243
4.39	-2.225588764
4.4	-2.211690273
4.41	-2.196485074
4.42	-2.179996103
4.43	-2.162246907
4.44	-2.143261622
4.45	-2.123064951
4.46	-2.101682143
4.47	-2.079138971
4.48	-2.055461709
4.49	-2.03067711
4.5	-2.004812387
4.51	-1.977895184
4.52	-1.949953561
4.53	-1.921015967
4.54	-1.891111217
4.55	-1.860268473
4.56	-1.82851722
4.57	-1.795887242
4.58	-1.7624086
4.59	-1.728111613
4.6	-1.693026831
4.61	-1.657185015
4.62	-1.620617114
4.63	-1.583354246
4.64	-1.545427671
4.65	-1.506868771
4.66	-1.467709032
4.67	-1.427980015
4.68	-1.387713343
4.69	-1.346940674
4.7	-1.30569368
4.71	-1.26400403
4.72	-1.221903366
4.73	-1.179423285
4.74	-1.136595315
4.75	-1.0934509
4.76	-1.050021377
4.77	-1.006337957
4.78	-0.9624317065
4.79	-0.9183335292
4.8	-0.8740741461
4.81	-0.8296840778
4.82	-0.7851936269
4.83	-0.7406328598
4.84	-0.6960315897
4.85	-0.6514193599
4.86	-0.6068254266
4.87	-0.562278743
4.88	-0.5178079434
4.89	-0.4734413276
4.9	-0.4292068458
4.91	-0.3851320836
4.92	-0.3412442479
4.93	-0.2975701526
4.94	-0.2541362055
4.95	-0.2109683943
4.96	-0.1680922746
4.97	-0.1255329568
4.98	-0.08331509482
4.99	-0.04146287394
5	-8.042010466e-16
5.01	0.04105031146
5.02	0.08166534541
5.03	0.1218228972
5.04	0.1615012822
5.05	0.2006793443
5.06	0.239336465
5.07	0.2774525713
5.08	0.3150081433
5.09	0.3519842216
5.1	0.3883624141
5.11	0.4241249023
5.12	0.4592544473
5.13	0.4937343951
5.14	0.527548682
5.15	0.5606818391
5.16	0.5931189961
5.17	0.6248458858
5.18	0.6558488467
5.19	0.6861148264
5.2	0.7156313839
5.21	0.7443866913
5.22	0.7723695362
5.23	0.7995693221
5.24	0.8259760698
5.25	0.8515804173
5.26	0.8763736201
5.27	0.9003475508
5.28	0.9234946978
5.29	0.9458081648
5.3	0.9672816686
5.31	0.9879095373
5.32	1.007686708
5.33	1.026608724
5.34	1.044671731
5.35	1.061872476
5.36	1.0782083
5.37	1.093677136
5.38	1.108277504
5.39	1.122008506
5.4	1.134869823
5.41	1.146861704
5.42	1.157984966
5.43	1.168240984
5.44	1.177631686
5.45	1.186159548
5.46	1.193827583
5.47	1.200639337
5.48	1.206598879
5.49	1.211710795
5.5	1.215980179
5.51	1.219412627
5.52	1.222014221
5.53	1.223791531
5.54	1.224751596
5.55	1.224901921
5.56	1.224250465
5.57	1.222805631
5.58	1.220576257
5.59	1.217571607
5.6	1.213801357
5.61	1.209275589
5.62	1.204004777
5.63	1.197999778
5.64	1.191271821
5.65	1.183832495
5.66	1.175693738
5.67	1.166867828
5.68	1.157367368
5.69	1.147205277
5.7	1.136394778
5.71	1.124949386
5.72	1.112882896
5.73	1.10020937
5.74	1.086943131
5.75	1.073098742
5.76	1.058691002
5.77	1.043734929
5.78	1.028245751
5.79	1.012238891
5.8	0.9957299604
5.81	0.9787347392
5.82	0.9612691703
5.83	0.9433493448
5.84	0.9249914905
5.85	0.9062119599
5.86	0.8870272183
5.87	0.8674538318
5.88	0.8475084558
5.89	0.8272078228
5.9	0.8065687311
5.91	0.7856080329
5.92	0.7643426228
5.93	0.7427894265
5.94	0.7209653891
5.95	0.6988874643
5.96	0.6765726027
5.97	0.6540377413
5.98	0.6312997923
5.99	0.608375632
6	0.5852820908
6.01	0.5620359422
6.02	0.5386538923
6.03	0.5151525701
6.04	0.4915485167
6.05	0.4678581761
6.06	0.4440978847
6.07	0.4202838624
6.08	0.3964322025
6.09	0.372558863
6.1	0.3486796571
6.11	0.3248102447
6.12	0.3009661232
6.13	0.2771626195
6.14	0.2534148813
6.15	0.2297378694
6.16	0.2061463492
6.17	0.1826548836
6.18	0.159277825
6.19	0.1360293084
6.2	0.1129232441
6.21	0.089973311
6.22	0.06719294979
6.23	0.04459535667
6.24	0.02219347714
6.25	5.380722513e-16
6.26	-0.02197264835
6.27	-0.04371230944
6.28	-0.06520709801
6.29	-0.08644540701
6.3	-0.1074159125
6.31	-0.1281075782
6.32	-0.1485096597
6.33	-0.1686117088
6.34	-0.1884035773
6.35	-0.2078754206
6.36	-0.2270177011
6.37	-0.2458211915
6.38	-0.2642769776
6.39	-0.2823764612
6.4	-0.3001113621
6.41	-0.3174737211
6.42	-0.3344559014
6.43	-0.3510505906
6.44	-0.3672508021
6.45	-0.3830498768
6.46	-0.3984414838
6.47	-0.4134196213
6.48	-0.4279786176
6.49	-0.442113131
6.5	-0.4558181507
6.51	-0.4690889958
6.52	-0.4819213162
6.53	-0.4943110912
6.54	-0.5062546294
6.55	-0.5177485677
6.56	-0.5287898702
6.57	-0.5393758268
6.58	-0.549504052
6.59	-0.5591724832
6.6	-0.5683793784
6.61	-0.5771233147
6.62	-0.5854031859
6.63	-0.5932181998
6.64	-0.600567876
6.65	-0.6074520427
6.66	-0.6138708341
6.67	-0.619824687
6.68	-0.6253143378
6.69	-0.6303408186
6.7	-0.6349054542
6.71	-0.6390098575
6.72	-0.6426559265
6.73	-0.6458458394
6.74	-0.648582051
6.75	-0.6508672879
6.76	-0.6527045445
6.77	-0.6540970777
6.78	-0.655048403
6.79	-0.6555622888
6.8	-0.6556427519
6.81	-0.6552940525
6.82	-0.6545206886
6.83	-0.653327391
6.84	-0.6517191176
6.85	-0.6497010484
6.86	-0.6472785793
6.87	-0.644457317
6.88	-0.6412430727
6.89	-0.6376418567
6.9	-0.6336598723
6.91	-0.6293035098
6.92	-0.6245793406
6.93	-0.6194941108
6.94	-0.6140547356
6.95	-0.6082682925
6.96	-0.6021420154
6.97	-0.5956832885
6.98	-0.5888996392
6.99	-0.5817987329
7	-0.5743883656
7.01	-0.566676458
7.02	-0.558671049
7.03	-0.5503802893
7.04	-0.541812435
7.05	-0.532975841
7.06	-0.5238789547
7.07	-0.5145303093
7.08	-0.5049385179
7.09	-0.4951122666
7.1	-0.4850603082
7.11	-0.474791456
7.12	-0.4643145772
7.13	-0.4536385867
7.14	-0.4427724409
7.15	-0.4317251312
7.16	-0.420505678
7.17	-0.4091231242
7.18	-0.3975865295
7.19	-0.3859049641
7.2	-0.3740875025
7.21	-0.3621432178
7.22	-0.3500811757
7.23	-0.3379104286
7.24	-0.3256400099
7.25	-0.313278928
7.26	-0.3008361613
7.27	-0.2883206519
7.28	-0.2757413006
7.29	-0.2631069612
7.3	-0.2504264357
7.31	-0.2377084682
7.32	-0.2249617406
7.33	-0.212194867
7.34	-0.1994163892
7.35	-0.1866347714
7.36	-0.1738583956
7.37	-0.161095557
7.38	-0.1483544596
7.39	-0.1356432114
7.4	-0.1229698202
7.41	-0.1103421894
7.42	-0.09776811391
7.43	-0.08525527613
7.44	-0.07281124193
7.45	-0.06044345696
7.46	-0.04815924297
7.47	-0.03596579429
7.48	-0.02387017432
7.49	-0.01187931228
7.5	-3.456111862e-16
7.51	0.01176111114
7.52	0.0233975132
7.53	0.03490284443
7.54	0.04627089205
7.55	0.05749559477
7.56	0.06857104529
7.57	0.07949149258
7.58	0.09025134411
7.59	0.1008451679
7.6	0.1112676946
7.61	0.121513819
7.62	0.1315786021
7.63	0.1414572726
7.64	0.151145228
7.65	0.1606380364
7.66	0.1699314375
7.67	0.1790213436
7.68	0.1879038406
7.69	0.196575189
7.7	0.2050318243
7.71	0.2132703578
7.72	0.2212875771
7.73	0.2290804462
7.74	0.2366461061
7.75	0.2439818745
7.76	0.251085246
7.77	0.2579538921
7.78	0.2645856608
7.79	0.2709785761
7.8	0.277130838
7.81	0.2830408213
7.82	0.2887070756
7.83	0.2941283239
7.84	0.2993034621
7.85	0.304231558
7.86	0.3089118499
7.87	0.3133437455
7.88	0.3175268211
7.89	0.3214608192
7.9	0.3251456481
7.91	0.3285813796
7.92	0.3317682474
7.93	0.3347066457
7.94	0.337397127
7.95	0.3398404004
7.96	0.3420373292
7.97	0.3439889292
7.98	0.3456963666
7.99	0.3471609551
8	0.3483841543
8.01	0.3493675669
8.02	0.3501129362
8.03	0.3506221439
8.04	0.3508972072
8.05	0.350940276
8.06	0.3507536307
8.07	0.3503396788
8.08	0.3497009526
8.09	0.3488401059
8.1	0.3477599113
8.11	0.346463257
8.12	0.3449531441
8.13	0.3432326831
8.14	0.3413050911
8.15	0.3391736885
8.16	0.3368418956
8.17	0.3343132301
8.18	0.3315913027
8.19	0.328679815
8.2	0.3255825552
8.21	0.3223033954
8.22	0.3188462879
8.23	0.3152152622
8.24	0.3114144209
8.25	0.3074479371
8.26	0.3033200504
8.27	0.2990350637
8.28	0.2945973399
8.29	0.290011298
8.3	0.28528141
8.31	0.2804121976
8.32	0.2754082284
8.33	0.2702741124
8.34	0.2650144991
8.35	0.2596340735
8.36	0.254137553
8.37	0.2485296839
8.38	0.242815238
8.39	0.2369990092
8.4	0.2310858105
8.41	0.2250804699
8.42	0.2189878279
8.43	0.2128127337
8.44	0.2065600423
8.45	0.200234611
8.46	0.1938412961
8.47	0.1873849502
8.48	0.1808704187
8.49	0.1743025369
8.5	0.1676861265
8.51	0.1610259934
8.52	0.154326924
8.53	0.1475936824
8.54	0.1408310079
8.55	0.1340436117
8.56	0.1272361742
8.57	0.1204133426
8.58	0.1135797277
8.59	0.1067399014
8.6	0.09989839434
8.61	0.09305969317
8.62	0.08622823799
8.63	0.07940841999
8.64	0.0726045791
8.65	0.06582100161
8.66	0.05906191791
8.67	0.05233150032
8.68	0.04563386089
8.69	0.03897304937
8.7	0.03235305111
8.71	0.02577778519
8.72	0.01925110243
8.73	0.0127767836
8.74	0.006358537659
8.75	2.158243935e-16
8.76	-0.006295269152
8.77	-0.01252378634
8.78	-0.01868214637
8.79	-0.02476702378
8.8	-0.03077517419
8.81	-0.03670343566
8.82	-0.04254872987
8.83	-0.04830806337
8.84	-0.05397852864
8.85	-0.05955730515
8.86	-0.06504166034
8.87	-0.07042895054
8.88	-0.07571662179
