temps	angle
0	0
0.01	0.4688608183
0.02	0.9328789772
0.03	1.391927078
0.04	1.845880871
0.05	2.29461927
0.06	2.738024366
0.07	3.175981443
0.08	3.608378988
0.09	4.0351087
0.1	4.456065501
0.11	4.871147543
0.12	5.280256215
0.13	5.683296145
0.14	6.080175211
0.15	6.470804534
0.16	6.855098488
0.17	7.232974693
0.18	7.60435402
0.19	7.969160585
0.2	8.327321744
0.21	8.678768094
0.22	9.023433461
0.23	9.361254896
0.24	9.692172666
0.25	10.01613025
0.26	10.3330743
0.27	10.6429547
0.28	10.94572445
0.29	11.24133974
0.3	11.52975991
0.31	11.81094741
0.32	12.08486779
0.33	12.35148973
0.34	12.61078495
0.35	12.86272823
0.36	13.1072974
0.37	13.34447328
0.38	13.5742397
0.39	13.79658343
0.4	14.01149419
0.41	14.21896462
0.42	14.41899026
0.43	14.61156948
0.44	14.79670351
0.45	14.97439637
0.46	15.14465487
0.47	15.30748856
0.48	15.46290969
0.49	15.61093321
0.5	15.75157672
0.51	15.88486043
0.52	16.01080713
0.53	16.12944218
0.54	16.24079343
0.55	16.34489123
0.56	16.44176835
0.57	16.53145998
0.58	16.61400369
0.59	16.68943936
0.6	16.75780918
0.61	16.81915757
0.62	16.87353119
0.63	16.92097886
0.64	16.96155155
0.65	16.9953023
0.66	17.02228623
0.67	17.04256046
0.68	17.05618408
0.69	17.0632181
0.7	17.06372544
0.71	17.05777084
0.72	17.04542085
0.73	17.02674379
0.74	17.00180966
0.75	16.97069018
0.76	16.93345866
0.77	16.89019
0.78	16.84096065
0.79	16.78584854
0.8	16.72493306
0.81	16.65829502
0.82	16.58601656
0.83	16.50818115
0.84	16.42487355
0.85	16.33617973
0.86	16.24218684
0.87	16.14298317
0.88	16.03865811
0.89	15.9293021
0.9	15.81500658
0.91	15.69586394
0.92	15.5719675
0.93	15.44341143
0.94	15.31029076
0.95	15.17270127
0.96	15.03073948
0.97	14.88450263
0.98	14.73408859
0.99	14.57959583
1	14.42112341
1.01	14.25877088
1.02	14.09263828
1.03	13.9228261
1.04	13.7494352
1.05	13.5725668
1.06	13.39232243
1.07	13.20880389
1.08	13.0221132
1.09	12.83235256
1.1	12.63962432
1.11	12.44403095
1.12	12.24567496
1.13	12.0446589
1.14	11.84108531
1.15	11.63505665
1.16	11.42667533
1.17	11.21604359
1.18	11.00326354
1.19	10.78843707
1.2	10.57166583
1.21	10.3530512
1.22	10.13269424
1.23	9.910695672
1.24	9.687155832
1.25	9.462174645
1.26	9.235851585
1.27	9.008285645
1.28	8.779575301
1.29	8.549818484
1.3	8.319112546
1.31	8.087554231
1.32	7.855239641
1.33	7.622264208
1.34	7.388722666
1.35	7.154709019
1.36	6.920316515
1.37	6.685637617
1.38	6.450763978
1.39	6.215786411
1.4	5.980794865
1.41	5.7458784
1.42	5.511125161
1.43	5.276622353
1.44	5.042456222
1.45	4.808712024
1.46	4.57547401
1.47	4.3428254
1.48	4.110848363
1.49	3.879623998
1.5	3.649232309
1.51	3.419752192
1.52	3.191261411
1.53	2.963836582
1.54	2.737553157
1.55	2.512485403
1.56	2.28870639
1.57	2.066287972
1.58	1.845300774
1.59	1.625814176
1.6	1.4078963
1.61	1.191613998
1.62	0.9770328353
1.63	0.7642170832
1.64	0.5532297046
1.65	0.3441323442
1.66	0.1369853181
1.67	-0.06815239575
1.68	-0.2712231664
1.69	-0.4721707188
1.7	-0.6709401408
1.71	-0.8674778913
1.72	-1.061731806
1.73	-1.253651104
1.74	-1.443186394
1.75	-1.630289676
1.76	-1.81491435
1.77	-1.997015217
1.78	-2.176548483
1.79	-2.35347176
1.8	-2.52774407
1.81	-2.699325847
1.82	-2.868178937
1.83	-3.034266594
1.84	-3.197553491
1.85	-3.358005705
1.86	-3.515590729
1.87	-3.670277461
1.88	-3.822036207
1.89	-3.970838675
1.9	-4.116657975
1.91	-4.25946861
1.92	-4.399246479
1.93	-4.535968867
1.94	-4.66961444
1.95	-4.800163242
1.96	-4.927596686
1.97	-5.051897552
1.98	-5.173049972
1.99	-5.291039431
2	-5.405852754
2.01	-5.517478098
2.02	-5.625904945
2.03	-5.731124093
2.04	-5.833127644
2.05	-5.931908995
2.06	-6.02746283
2.07	-6.119785105
2.08	-6.20887304
2.09	-6.294725107
2.1	-6.377341016
2.11	-6.456721707
2.12	-6.532869333
2.13	-6.605787248
2.14	-6.675479998
2.15	-6.741953302
2.16	-6.805214039
2.17	-6.865270239
2.18	-6.922131061
2.19	-6.975806784
2.2	-7.026308789
2.21	-7.073649546
2.22	-7.117842595
2.23	-7.158902536
2.24	-7.196845004
2.25	-7.231686663
2.26	-7.263445181
2.27	-7.29213922
2.28	-7.317788414
2.29	-7.340413353
2.3	-7.360035568
2.31	-7.376677513
2.32	-7.390362543
2.33	-7.401114902
2.34	-7.408959702
2.35	-7.413922905
2.36	-7.416031306
2.37	-7.415312513
2.38	-7.411794928
2.39	-7.405507731
2.4	-7.396480859
2.41	-7.384744988
2.42	-7.370331515
2.43	-7.353272535
2.44	-7.333600827
2.45	-7.311349831
2.46	-7.286553633
2.47	-7.259246939
2.48	-7.229465063
2.49	-7.197243903
2.5	-7.162619922
2.51	-7.125630129
2.52	-7.086312064
2.53	-7.044703769
2.54	-7.000843778
2.55	-6.954771092
2.56	-6.906525162
2.57	-6.856145867
2.58	-6.803673499
2.59	-6.74914874
2.6	-6.692612643
2.61	-6.634106614
2.62	-6.573672394
2.63	-6.511352036
2.64	-6.44718789
2.65	-6.381222581
2.66	-6.313498993
2.67	-6.244060246
2.68	-6.172949683
2.69	-6.100210847
2.7	-6.025887464
2.71	-5.950023423
2.72	-5.872662762
2.73	-5.793849645
2.74	-5.713628347
2.75	-5.632043236
2.76	-5.549138753
2.77	-5.464959398
2.78	-5.379549708
2.79	-5.292954245
2.8	-5.205217575
2.81	-5.116384253
2.82	-5.026498804
2.83	-4.935605711
2.84	-4.843749393
2.85	-4.750974193
2.86	-4.65732436
2.87	-4.562844033
2.88	-4.467577228
2.89	-4.371567819
2.9	-4.274859524
2.91	-4.177495892
2.92	-4.079520286
2.93	-3.980975869
2.94	-3.881905589
2.95	-3.782352168
2.96	-3.682358084
2.97	-3.581965558
2.98	-3.481216544
2.99	-3.380152712
3	-3.278815437
3.01	-3.177245786
3.02	-3.075484504
3.03	-2.973572005
3.04	-2.871548357
3.05	-2.769453272
3.06	-2.667326093
3.07	-2.565205783
3.08	-2.463130918
3.09	-2.361139669
3.1	-2.259269798
3.11	-2.157558645
3.12	-2.056043118
3.13	-1.954759683
3.14	-1.853744358
3.15	-1.753032697
3.16	-1.652659789
3.17	-1.552660244
3.18	-1.453068186
3.19	-1.353917248
3.2	-1.255240557
3.21	-1.157070735
3.22	-1.059439884
3.23	-0.9623795866
3.24	-0.865920892
3.25	-0.7700943143
3.26	-0.6749298243
3.27	-0.5804568444
3.28	-0.4867042423
3.29	-0.393700326
3.3	-0.3014728384
3.31	-0.2100489529
3.32	-0.1194552679
3.33	-0.02971780353
3.34	0.05913800337
3.35	0.1470873025
3.36	0.2341058338
3.37	0.320169931
3.38	0.4052565242
3.39	0.4893431433
3.4	0.5724079197
3.41	0.6544295895
3.42	0.7353874948
3.43	0.8152615859
3.44	0.8940324228
3.45	0.9716811761
3.46	1.048189629
3.47	1.123540176
3.48	1.197715827
3.49	1.270700204
3.5	1.342477543
3.51	1.413032694
3.52	1.48235112
3.53	1.550418896
3.54	1.617222711
3.55	1.682749862
3.56	1.746988256
3.57	1.80992641
3.58	1.871553446
3.59	1.931859089
3.6	1.990833668
3.61	2.048468112
3.62	2.104753946
3.63	2.159683291
3.64	2.213248858
3.65	2.26544395
3.66	2.31626245
3.67	2.365698828
3.68	2.413748128
3.69	2.460405971
3.7	2.505668547
3.71	2.549532611
3.72	2.591995481
3.73	2.633055032
3.74	2.672709688
3.75	2.710958425
3.76	2.747800757
3.77	2.783236738
3.78	2.817266953
3.79	2.849892512
3.8	2.881115045
3.81	2.9109367
3.82	2.93936013
3.83	2.966388492
3.84	2.99202544
3.85	3.016275119
3.86	3.039142155
3.87	3.060631653
3.88	3.080749188
3.89	3.0995008
3.9	3.116892983
3.91	3.132932684
3.92	3.147627289
3.93	3.160984623
3.94	3.173012937
3.95	3.183720904
3.96	3.19311761
3.97	3.201212546
3.98	3.208015601
3.99	3.213537057
4	3.217787575
4.01	3.220778194
4.02	3.222520318
4.03	3.22302571
4.04	3.222306485
4.05	3.220375101
4.06	3.217244349
4.07	3.212927348
4.08	3.207437534
4.09	3.200788656
4.1	3.192994761
4.11	3.184070191
4.12	3.174029576
4.13	3.162887818
4.14	3.15066009
4.15	3.137361824
4.16	3.123008706
4.17	3.107616661
4.18	3.091201852
4.19	3.073780667
4.2	3.055369712
4.21	3.035985801
4.22	3.01564595
4.23	2.994367368
4.24	2.972167448
4.25	2.949063756
4.26	2.925074028
4.27	2.900216159
4.28	2.874508192
4.29	2.847968313
4.3	2.820614844
4.31	2.79246623
4.32	2.763541033
