temps	angle
0	0
0.01	0.3750713785
0.02	0.7461656829
0.03	1.113080032
0.04	1.475616296
0.05	1.833581175
0.06	2.18678628
0.07	2.535048206
0.08	2.878188603
0.09	3.216034241
0.1	3.548417074
0.11	3.875174296
0.12	4.196148398
0.13	4.511187215
0.14	4.820143975
0.15	5.122877339
0.16	5.419251441
0.17	5.709135922
0.18	5.992405961
0.19	6.268942297
0.2	6.538631259
0.21	6.801364779
0.22	7.057040408
0.23	7.305561329
0.24	7.546836361
0.25	7.780779968
0.26	8.007312251
0.27	8.22635895
0.28	8.437851434
0.29	8.641726692
0.3	8.837927315
0.31	9.026401479
0.32	9.207102925
0.33	9.379990933
0.34	9.545030292
0.35	9.702191269
0.36	9.851449574
0.37	9.992786324
0.38	10.126188
0.39	10.25164639
0.4	10.36915857
0.41	10.47872684
0.42	10.58035864
0.43	10.67406655
0.44	10.75986818
0.45	10.83778615
0.46	10.90784799
0.47	10.9700861
0.48	11.02453766
0.49	11.07124458
0.5	11.11025339
0.51	11.14161522
0.52	11.16538565
0.53	11.1816247
0.54	11.19039669
0.55	11.19177019
0.56	11.18581792
0.57	11.17261666
0.58	11.15224716
0.59	11.12479406
0.6	11.09034578
0.61	11.04899442
0.62	11.0008357
0.63	10.9459688
0.64	10.88449632
0.65	10.81652416
0.66	10.7421614
0.67	10.6615202
0.68	10.57471573
0.69	10.48186602
0.7	10.38309189
0.71	10.27851683
0.72	10.16826687
0.73	10.05247051
0.74	9.931258595
0.75	9.804764208
0.76	9.673122551
0.77	9.53647085
0.78	9.394948235
0.79	9.248695636
0.8	9.097855672
0.81	8.942572537
0.82	8.782991897
0.83	8.619260772
0.84	8.451527435
0.85	8.279941297
0.86	8.104652797
0.87	7.9258133
0.88	7.743574983
0.89	7.558090729
0.9	7.369514022
0.91	7.177998837
0.92	6.98369954
0.93	6.786770777
0.94	6.587367374
0.95	6.385644234
0.96	6.181756235
0.97	5.975858125
0.98	5.76810443
0.99	5.558649347
1	5.347646653
1.01	5.135249603
1.02	4.921610843
1.03	4.706882305
1.04	4.491215127
1.05	4.274759553
1.06	4.057664849
1.07	3.840079211
1.08	3.622149685
1.09	3.404022074
1.1	3.185840863
1.11	2.967749133
1.12	2.749888484
1.13	2.532398953
1.14	2.315418946
1.15	2.099085155
1.16	1.883532491
1.17	1.668894012
1.18	1.455300856
1.19	1.242882171
1.2	1.031765055
1.21	0.8220744884
1.22	0.6139332787
1.23	0.4074619975
1.24	0.2027789259
1.25	9.832592927e-16
1.26	-0.2007612419
1.27	-0.3993937093
1.28	-0.5957888082
1.29	-0.7898404867
1.3	-0.9814452791
1.31	-1.170502348
1.32	-1.356913524
1.33	-1.540583343
1.34	-1.721419082
1.35	-1.899330792
1.36	-2.074231329
1.37	-2.246036386
1.38	-2.414664513
1.39	-2.58003715
1.4	-2.742078642
1.41	-2.900716268
1.42	-3.055880249
1.43	-3.207503775
1.44	-3.355523009
1.45	-3.499877108
1.46	-3.640508227
1.47	-3.77736153
1.48	-3.910385193
1.49	-4.039530412
1.5	-4.164751401
1.51	-4.286005394
1.52	-4.403252643
1.53	-4.516456412
1.54	-4.625582974
1.55	-4.7306016
1.56	-4.83148455
1.57	-4.928207064
1.58	-5.020747346
1.59	-5.109086549
1.6	-5.193208758
1.61	-5.273100972
1.62	-5.348753083
1.63	-5.420157853
1.64	-5.487310892
1.65	-5.550210631
1.66	-5.608858297
1.67	-5.66325788
1.68	-5.713416108
1.69	-5.759342412
1.7	-5.801048896
1.71	-5.838550298
1.72	-5.871863957
1.73	-5.901009778
1.74	-5.926010189
1.75	-5.946890103
1.76	-5.963676878
1.77	-5.976400275
1.78	-5.98509241
1.79	-5.989787718
1.8	-5.990522899
1.81	-5.987336878
1.82	-5.980270752
1.83	-5.969367746
1.84	-5.954673161
1.85	-5.936234323
1.86	-5.914100537
1.87	-5.888323029
1.88	-5.858954895
1.89	-5.826051051
1.9	-5.789668176
1.91	-5.749864656
1.92	-5.706700533
1.93	-5.660237448
1.94	-5.610538581
1.95	-5.5576686
1.96	-5.5016936
1.97	-5.442681048
1.98	-5.380699724
1.99	-5.315819663
2	-5.248112096
2.01	-5.177649395
2.02	-5.10450501
2.03	-5.028753413
2.04	-4.950470038
2.05	-4.869731223
2.06	-4.786614151
2.07	-4.701196789
2.08	-4.613557834
2.09	-4.523776648
2.1	-4.431933206
2.11	-4.338108034
2.12	-4.242382149
2.13	-4.144837007
2.14	-4.045554441
2.15	-3.944616603
2.16	-3.842105912
2.17	-3.738104992
2.18	-3.632696621
2.19	-3.525963671
2.2	-3.417989055
2.21	-3.308855673
2.22	-3.198646357
2.23	-3.087443817
2.24	-2.97533059
2.25	-2.862388987
2.26	-2.748701039
2.27	-2.63434845
2.28	-2.519412547
2.29	-2.403974225
2.3	-2.288113905
2.31	-2.171911483
2.32	-2.055446284
2.33	-1.938797015
2.34	-1.822041718
2.35	-1.705257731
2.36	-1.588521641
2.37	-1.471909238
2.38	-1.355495481
2.39	-1.239354453
2.4	-1.123559319
2.41	-1.008182292
2.42	-0.893294593
2.43	-0.778966415
2.44	-0.6652668863
2.45	-0.552264037
2.46	-0.440024765
2.47	-0.3286148038
2.48	-0.2180986908
2.49	-0.1085397376
2.5	-1.052601547e-15
2.51	0.1074597491
2.52	0.2137800474
2.53	0.3189027686
2.54	0.4227711472
2.55	0.5253298021
2.56	0.6265247589
2.57	0.7263034712
2.58	0.8246148409
2.59	0.9214092368
2.6	1.016638513
2.61	1.110256024
2.62	1.202216644
2.63	1.292476777
2.64	1.38099437
2.65	1.467728931
2.66	1.552641533
2.67	1.635694828
2.68	1.716853052
2.69	1.796082039
2.7	1.873349221
2.71	1.948623634
2.72	2.021875928
2.73	2.093078364
2.74	2.162204819
2.75	2.229230784
2.76	2.29413337
2.77	2.3568913
2.78	2.417484911
2.79	2.47589615
2.8	2.53210857
2.81	2.586107322
2.82	2.637879153
2.83	2.687412397
2.84	2.734696965
2.85	2.779724339
2.86	2.822487559
2.87	2.862981216
2.88	2.901201435
2.89	2.937145867
2.9	2.970813671
2.91	3.002205504
2.92	3.031323503
2.93	3.058171268
2.94	3.082753847
2.95	3.105077719
2.96	3.125150773
2.97	3.14298229
2.98	3.158582924
2.99	3.171964679
3	3.183140892
3.01	3.192126205
3.02	3.198936548
3.03	3.203589113
3.04	3.20610233
3.05	3.206495845
3.06	3.20479049
3.07	3.201008266
3.08	3.195172307
3.09	3.187306862
3.1	3.177437264
3.11	3.165589902
3.12	3.151792196
3.13	3.136072567
3.14	3.118460408
3.15	3.098986058
3.16	3.07768077
3.17	3.05457668
3.18	3.029706782
3.19	3.003104896
3.2	2.974805634
3.21	2.944844376
3.22	2.913257233
3.23	2.880081021
3.24	2.845353226
3.25	2.809111978
3.26	2.771396012
3.27	2.732244644
3.28	2.691697736
3.29	2.649795665
3.3	2.606579291
3.31	2.562089928
3.32	2.516369309
3.33	2.469459557
3.34	2.421403151
3.35	2.372242899
3.36	2.322021903
3.37	2.270783529
3.38	2.218571377
3.39	2.165429249
3.4	2.111401118
3.41	2.056531099
3.42	2.000863418
3.43	1.944442383
3.44	1.887312351
3.45	1.829517704
3.46	1.771102814
3.47	1.712112018
3.48	1.652589588
3.49	1.592579702
3.5	1.532126418
3.51	1.471273644
3.52	1.410065115
3.53	1.348544359
3.54	1.286754678
3.55	1.224739117
3.56	1.162540443
3.57	1.100201114
3.58	1.03776326
3.59	0.9752686528
3.6	0.9127586893
3.61	0.8502743625
3.62	0.7878562414
3.63	0.7255444477
3.64	0.6633786348
3.65	0.6013979659
3.66	0.5396410937
3.67	0.4781461399
3.68	0.416950676
3.69	0.3560917039
3.7	0.2956056374
3.71	0.2355282843
3.72	0.1758948293
3.73	0.1167398168
3.74	0.05809713497
3.75	8.451255118e-16
3.76	-0.05751905882
3.77	-0.1144282136
3.78	-0.1706963515
