temps	angle
0	0
0.01	0.3754466375
0.02	0.7476595076
0.03	1.116424286
0.04	1.481530582
0.05	1.842772039
0.06	2.199946438
0.07	2.552855797
0.08	2.90130646
0.09	3.24510919
0.1	3.584079258
0.11	3.918036523
0.12	4.246805514
0.13	4.570215501
0.14	4.888100577
0.15	5.200299715
0.16	5.506656843
0.17	5.807020898
0.18	6.101245889
0.19	6.389190945
0.2	6.670720372
0.21	6.945703693
0.22	7.214015693
0.23	7.47553646
0.24	7.730151416
0.25	7.977751351
0.26	8.21823245
0.27	8.451496319
0.28	8.677450001
0.29	8.896005996
0.3	9.107082272
0.31	9.310602278
0.32	9.506494944
0.33	9.694694687
0.34	9.875141411
0.35	10.0477805
0.36	10.2125628
0.37	10.36944463
0.38	10.51838774
0.39	10.65935933
0.4	10.79233196
0.41	10.91728362
0.42	11.03419761
0.43	11.14306256
0.44	11.24387239
0.45	11.33662625
0.46	11.42132851
0.47	11.49798868
0.48	11.5666214
0.49	11.62724637
0.5	11.67988827
0.51	11.72457676
0.52	11.7613464
0.53	11.79023656
0.54	11.8112914
0.55	11.82455976
0.56	11.83009512
0.57	11.82795554
0.58	11.81820355
0.59	11.8009061
0.6	11.77613446
0.61	11.74396417
0.62	11.70447494
0.63	11.65775055
0.64	11.6038788
0.65	11.54295137
0.66	11.47506381
0.67	11.40031534
0.68	11.31880886
0.69	11.2306508
0.7	11.135951
0.71	11.0348227
0.72	10.92738233
0.73	10.8137495
0.74	10.69404684
0.75	10.56839994
0.76	10.43693721
0.77	10.29978978
0.78	10.15709141
0.79	10.00897839
0.8	9.855589393
0.81	9.6970654
0.82	9.533549582
0.83	9.365187188
0.84	9.192125436
0.85	9.014513401
0.86	8.832501907
0.87	8.646243413
0.88	8.455891903
0.89	8.261602775
0.9	8.063532726
0.91	7.861839646
0.92	7.656682504
0.93	7.448221234
0.94	7.236616629
0.95	7.022030228
0.96	6.804624207
0.97	6.584561267
0.98	6.362004527
0.99	6.137117415
1	5.910063561
1.01	5.681006686
1.02	5.450110501
1.03	5.217538599
1.04	4.983454348
1.05	4.748020793
1.06	4.511400547
1.07	4.273755694
1.08	4.03524769
1.09	3.796037257
1.1	3.556284291
1.11	3.316147766
1.12	3.075785634
1.13	2.835354735
1.14	2.595010704
1.15	2.354907879
1.16	2.115199212
1.17	1.876036185
1.18	1.637568718
1.19	1.399945089
1.2	1.163311851
1.21	0.9278137474
1.22	0.6935936399
1.23	0.4607924251
1.24	0.2295489624
1.25	1.114178747e-15
1.26	-0.2277198967
1.27	-0.4534784144
1.28	-0.677145559
1.29	-0.8985937213
1.3	-1.11769774
1.31	-1.334334965
1.32	-1.548385311
1.33	-1.759731321
1.34	-1.968258218
1.35	-2.173853957
1.36	-2.376409277
1.37	-2.57581775
1.38	-2.771975823
1.39	-2.964782867
1.4	-3.154141217
1.41	-3.339956208
1.42	-3.522136216
1.43	-3.700592694
1.44	-3.875240199
1.45	-4.045996428
1.46	-4.212782243
1.47	-4.375521698
1.48	-4.534142061
1.49	-4.688573838
1.5	-4.83875079
1.51	-4.98460995
1.52	-5.126091638
1.53	-5.263139474
1.54	-5.395700385
1.55	-5.523724619
1.56	-5.647165742
1.57	-5.76598065
1.58	-5.880129564
1.59	-5.989576035
1.6	-6.094286933
1.61	-6.194232451
1.62	-6.28938609
1.63	-6.379724656
1.64	-6.465228244
1.65	-6.545880226
1.66	-6.621667236
1.67	-6.692579155
1.68	-6.758609086
1.69	-6.819753337
1.7	-6.876011399
1.71	-6.927385916
1.72	-6.973882662
1.73	-7.015510511
1.74	-7.052281409
1.75	-7.084210336
1.76	-7.111315279
1.77	-7.133617193
1.78	-7.151139962
1.79	-7.163910364
1.8	-7.171958029
1.81	-7.175315398
1.82	-7.174017678
1.83	-7.168102797
1.84	-7.15761136
1.85	-7.142586603
1.86	-7.123074337
1.87	-7.099122907
1.88	-7.070783133
1.89	-7.038108261
1.9	-7.001153912
1.91	-6.959978021
1.92	-6.914640785
1.93	-6.865204608
1.94	-6.811734036
1.95	-6.754295708
1.96	-6.692958289
1.97	-6.627792412
1.98	-6.558870616
1.99	-6.486267286
2	-6.410058589
2.01	-6.33032241
2.02	-6.247138289
2.03	-6.160587356
2.04	-6.070752267
2.05	-5.977717136
2.06	-5.881567474
2.07	-5.782390117
