temps	angle
0	0
0.01	1.125182669
0.02	2.238246627
0.03	3.338399439
0.04	4.424867149
0.05	5.496894725
0.06	6.553746493
0.07	7.594706549
0.08	8.619079145
0.09	9.626189065
0.1	10.61538197
0.11	11.58602473
0.12	12.53750572
0.13	13.46923515
0.14	14.38064526
0.15	15.27119063
0.16	16.14034838
0.17	16.98761837
0.18	17.8125234
0.19	18.61460935
0.2	19.39344535
0.21	20.14862388
0.22	20.87976088
0.23	21.58649584
0.24	22.26849185
0.25	22.92543564
0.26	23.55703761
0.27	24.16303184
0.28	24.74317603
0.29	25.29725153
0.3	25.82506323
0.31	26.32643952
0.32	26.80123215
0.33	27.24931619
0.34	27.67058984
0.35	28.0649743
0.36	28.43241363
0.37	28.77287453
0.38	29.08634617
0.39	29.37283997
0.4	29.63238936
0.41	29.86504954
0.42	30.07089721
0.43	30.25003032
0.44	30.40256773
0.45	30.52864896
0.46	30.62843384
0.47	30.70210215
0.48	30.74985335
0.49	30.77190613
0.5	30.76849812
0.51	30.73988545
0.52	30.68634238
0.53	30.60816089
0.54	30.50565026
0.55	30.37913667
0.56	30.22896272
0.57	30.05548702
0.58	29.85908372
0.59	29.64014207
0.6	29.39906591
0.61	29.13627323
0.62	28.85219569
0.63	28.54727808
0.64	28.22197789
0.65	27.87676476
0.66	27.51212
0.67	27.12853606
0.68	26.72651603
0.69	26.30657313
0.7	25.86923016
0.71	25.41501899
0.72	24.94448004
0.73	24.45816174
0.74	23.95662002
0.75	23.44041775
0.76	22.91012423
0.77	22.36631466
0.78	21.8095696
0.79	21.24047445
0.8	20.65961889
0.81	20.06759642
0.82	19.46500376
0.83	18.85244037
0.84	18.23050795
0.85	17.59980985
0.86	16.96095066
0.87	16.31453561
0.88	15.66117013
0.89	15.0014593
0.9	14.33600741
0.91	13.66541744
0.92	12.99029057
0.93	12.31122574
0.94	11.62881916
0.95	10.94366382
0.96	10.2563491
0.97	9.567460268
0.98	8.877578064
0.99	8.187278265
1	7.497131258
1.01	6.807701635
1.02	6.119547775
1.03	5.433221461
1.04	4.749267482
1.05	4.068223262
1.06	3.390618492
1.07	2.716974768
1.08	2.04780525
1.09	1.383614321
1.1	0.7248972598
1.11	0.07213992927
1.12	-0.5741815317
1.13	-1.213601001
1.14	-1.845662656
1.15	-2.469921245
1.16	-3.085942347
1.17	-3.693302622
1.18	-4.291590043
1.19	-4.88040413
1.2	-5.459356154
1.21	-6.028069346
1.22	-6.586179085
1.23	-7.133333072
1.24	-7.669191506
1.25	-8.193427227
1.26	-8.705725868
1.27	-9.205785979
1.28	-9.69331915
1.29	-10.16805012
1.3	-10.62971685
1.31	-11.07807066
1.32	-11.51287622
1.33	-11.9339117
1.34	-12.34096873
1.35	-12.73385252
1.36	-13.11238181
1.37	-13.47638893
1.38	-13.82571981
1.39	-14.16023391
1.4	-14.47980429
1.41	-14.7843175
1.42	-15.07367357
1.43	-15.34778597
1.44	-15.60658153
1.45	-15.85000037
1.46	-16.07799582
1.47	-16.29053434
1.48	-16.48759537
1.49	-16.66917128
1.5	-16.83526721
1.51	-16.98590094
1.52	-17.12110276
1.53	-17.24091532
1.54	-17.34539347
1.55	-17.43460408
1.56	-17.50862589
1.57	-17.56754932
1.58	-17.61147626
1.59	-17.6405199
1.6	-17.65480451
1.61	-17.65446523
1.62	-17.63964783
1.63	-17.61050854
1.64	-17.56721377
1.65	-17.50993987
1.66	-17.43887293
1.67	-17.35420847
1.68	-17.25615125
1.69	-17.14491496
1.7	-17.02072197
1.71	-16.88380309
1.72	-16.73439724
1.73	-16.57275123
1.74	-16.39911944
1.75	-16.21376356
1.76	-16.01695228
1.77	-15.80896104
1.78	-15.59007167
1.79	-15.36057218
1.8	-15.12075638
1.81	-14.87092364
1.82	-14.61137855
1.83	-14.34243066
1.84	-14.06439414
1.85	-13.77758748
1.86	-13.48233321
1.87	-13.17895758
1.88	-12.86779024
1.89	-12.54916396
1.9	-12.22341433
1.91	-11.89087942
1.92	-11.55189952
1.93	-11.20681681
1.94	-10.85597508
1.95	-10.49971942
1.96	-10.13839593
1.97	-9.772351415
1.98	-9.401933104
1.99	-9.027488364
2	-8.649364406
2.01	-8.267908002
2.02	-7.883465211
2.03	-7.496381095
2.04	-7.10699945
2.05	-6.715662537
2.06	-6.322710813
2.07	-5.928482675
2.08	-5.533314198
2.09	-5.137538883
2.1	-4.741487414
2.11	-4.345487408
2.12	-3.949863182
2.13	-3.554935515
2.14	-3.161021427
2.15	-2.768433948
2.16	-2.377481909
2.17	-1.988469722
2.18	-1.601697183
2.19	-1.217459266
2.2	-0.8360459313
2.21	-0.4577419365
2.22	-0.0828266559
2.23	0.2884260958
2.24	0.6557482327
2.25	1.018877561
2.26	1.377557933
2.27	1.731539403
2.28	2.080578363
2.29	2.424437685
2.3	2.762886849
2.31	3.095702065
2.32	3.422666393
2.33	3.743569851
2.34	4.058209516
2.35	4.366389624
2.36	4.667921657
2.37	4.962624425
2.38	5.250324144
2.39	5.530854504
2.4	5.804056728
2.41	6.069779634
2.42	6.327879675
2.43	6.578220988
2.44	6.820675426
2.45	7.055122585
2.46	7.281449828
2.47	7.499552301
2.48	7.709332936
2.49	7.91070246
2.5	8.103579388
2.51	8.28789001
2.52	8.463568377
2.53	8.630556278
2.54	8.788803208
2.55	8.938266336
2.56	9.078910461
2.57	9.210707968
2.58	9.333638771
2.59	9.447690259
2.6	9.55285723
2.61	9.649141821
2.62	9.736553431
2.63	9.815108649
2.64	9.88483116
2.65	9.945751658
2.66	9.997907755
2.67	10.04134388
2.68	10.07611115
2.69	10.10226733
2.7	10.11987663
2.71	10.12900965
2.72	10.12974324
2.73	10.12216038
2.74	10.10635003
2.75	10.08240703
2.76	10.05043194
2.77	10.0105309
2.78	9.962815524
2.79	9.90740269
2.8	9.844414447
2.81	9.773977838
2.82	9.696224755
2.83	9.611291775
2.84	9.519320008
2.85	9.420454933
2.86	9.314846236
2.87	9.202647645
2.88	9.084016765
2.89	8.959114907
2.9	8.828106921
2.91	8.691161029
2.92	8.548448645
2.93	8.40014421
2.94	8.246425017
2.95	8.087471034
2.96	7.923464735
2.97	7.754590921
2.98	7.581036547
2.99	7.402990547
3	7.220643661
3.01	7.034188256
3.02	6.843818158
3.03	6.649728475
3.04	6.452115422
3.05	6.251176155
3.06	6.047108596
3.07	5.840111262
3.08	5.6303831
3.09	5.418123316
3.1	5.203531211
3.11	4.986806017
3.12	4.768146731
3.13	4.547751959
3.14	4.325819754
3.15	4.102547456
3.16	3.878131546
3.17	3.652767485
3.18	3.426649566
3.19	3.19997077
3.2	2.972922615
3.21	2.745695019
3.22	2.518476155
3.23	2.291452319
3.24	2.06480779
3.25	1.838724707
3.26	1.613382931
3.27	1.388959928
3.28	1.165630645
3.29	0.9435673904
3.3	0.7229397189
3.31	0.5039143214
3.32	0.2866549157
3.33	0.07132214186
3.34	-0.1419265387
3.35	-0.352936941
3.36	-0.5615582499
3.37	-0.7676431111
3.38	-0.9710477166
3.39	-1.171631888
3.4	-1.369259156
3.41	-1.563796832
