temps	angle
0	0
0.01	0.3907244185
0.02	0.7774554201
0.03	1.160128176
0.04	1.538679598
0.05	1.913048344
0.06	2.283174808
0.07	2.649001128
0.08	3.01047118
0.09	3.367530573
0.1	3.720126654
0.11	4.068208498
0.12	4.411726908
0.13	4.750634412
0.14	5.084885253
0.15	5.414435393
0.16	5.739242501
0.17	6.059265948
0.18	6.374466806
0.19	6.684807835
0.2	6.990253483
0.21	7.290769872
0.22	7.586324797
0.23	7.876887712
0.24	8.162429726
0.25	8.442923593
0.26	8.718343704
0.27	8.988666075
0.28	9.25386834
0.29	9.513929738
0.3	9.768831109
0.31	10.01855487
0.32	10.26308503
0.33	10.50240714
0.34	10.73650832
0.35	10.96537721
0.36	11.18900401
0.37	11.4073804
0.38	11.62049958
0.39	11.82835625
0.4	12.03094656
0.41	12.22826813
0.42	12.42032005
0.43	12.60710281
0.44	12.78861835
0.45	12.96487
0.46	13.13586247
0.47	13.30160187
0.48	13.46209564
0.49	13.6173526
0.5	13.76738287
0.51	13.91219789
0.52	14.0518104
0.53	14.18623442
0.54	14.31548523
0.55	14.43957935
0.56	14.55853454
0.57	14.67236977
0.58	14.78110521
0.59	14.88476221
0.6	14.98336326
0.61	15.07693201
0.62	15.16549324
0.63	15.24907283
0.64	15.32769775
0.65	15.40139604
0.66	15.47019679
0.67	15.53413013
0.68	15.59322721
0.69	15.64752017
0.7	15.69704214
0.71	15.74182718
0.72	15.78191034
0.73	15.81732756
0.74	15.84811568
0.75	15.87431244
0.76	15.89595645
0.77	15.91308715
0.78	15.92574482
0.79	15.93397054
0.8	15.93780619
0.81	15.93729442
0.82	15.93247862
0.83	15.92340291
0.84	15.91011214
0.85	15.89265185
0.86	15.87106823
0.87	15.84540816
0.88	15.81571914
0.89	15.78204927
0.9	15.74444727
0.91	15.70296245
0.92	15.65764464
0.93	15.60854423
0.94	15.55571215
0.95	15.49919981
0.96	15.4390591
0.97	15.3753424
0.98	15.3081025
0.99	15.23739265
1	15.16326649
1.01	15.08577806
1.02	15.00498176
1.03	14.92093236
1.04	14.83368494
1.05	14.74329492
1.06	14.649818
1.07	14.55331018
1.08	14.45382771
1.09	14.35142708
1.1	14.24616502
1.11	14.13809846
1.12	14.02728452
1.13	13.91378051
1.14	13.79764387
1.15	13.67893221
1.16	13.55770324
1.17	13.4340148
1.18	13.30792478
1.19	13.17949119
1.2	13.04877207
1.21	12.9158255
1.22	12.78070959
1.23	12.64348246
1.24	12.50420222
1.25	12.36292696
1.26	12.21971472
1.27	12.07462351
1.28	11.92771125
1.29	11.77903577
1.3	11.62865483
1.31	11.47662604
1.32	11.32300693
1.33	11.16785483
1.34	11.01122696
1.35	10.85318035
1.36	10.69377185
1.37	10.53305812
1.38	10.37109558
