temps	angle
0	0
0.01	1.127435286
0.02	2.247217543
0.03	3.358490047
0.04	4.46040806
0.05	5.552139435
0.06	6.632865214
0.07	7.701780207
0.08	8.758093561
0.09	9.80102931
0.1	10.82982691
0.11	11.84374176
0.12	12.84204572
0.13	13.82402758
0.14	14.78899352
0.15	15.73626762
0.16	16.66519224
0.17	17.57512847
0.18	18.46545652
0.19	19.33557612
0.2	20.18490687
0.21	21.0128886
0.22	21.81898169
0.23	22.60266742
0.24	23.36344819
0.25	24.10084786
0.26	24.81441199
0.27	25.50370804
0.28	26.16832566
0.29	26.8078768
0.3	27.42199596
0.31	28.01034032
0.32	28.57258987
0.33	29.10844758
0.34	29.61763943
0.35	30.09991454
0.36	30.55504525
0.37	30.98282711
0.38	31.38307894
0.39	31.75564285
0.4	32.10038418
0.41	32.41719153
0.42	32.70597667
0.43	32.96667447
0.44	33.19924284
0.45	33.40366261
0.46	33.57993741
0.47	33.72809354
0.48	33.84817979
0.49	33.94026729
0.5	34.00444932
0.51	34.04084107
0.52	34.04957946
0.53	34.03082287
0.54	33.98475089
0.55	33.91156406
0.56	33.81148356
0.57	33.68475094
0.58	33.53162777
0.59	33.35239532
0.6	33.14735425
0.61	32.9168242
0.62	32.66114343
0.63	32.38066848
0.64	32.07577371
0.65	31.74685094
0.66	31.39430901
0.67	31.01857334
0.68	30.6200855
0.69	30.19930277
0.7	29.75669765
0.71	29.29275741
0.72	28.80798359
0.73	28.30289153
0.74	27.77800986
0.75	27.23388
0.76	26.67105564
0.77	26.09010222
0.78	25.49159643
0.79	24.87612563
0.8	24.24428736
0.81	23.59668877
0.82	22.93394607
0.83	22.25668401
0.84	21.56553528
0.85	20.86114
0.86	20.14414513
0.87	19.41520391
0.88	18.6749753
0.89	17.92412343
0.9	17.16331699
0.91	16.39322872
0.92	15.61453481
0.93	14.82791434
0.94	14.0340487
0.95	13.23362107
0.96	12.42731582
0.97	11.61581795
0.98	10.79981257
0.99	9.979984312
1	9.157016797
1.01	8.331592085
1.02	7.504390137
1.03	6.676088278
1.04	5.84736067
1.05	5.018877782
1.06	4.191305878
1.07	3.365306501
1.08	2.541535968
1.09	1.720644876
1.1	0.9032776075
1.11	0.09007185089
1.12	-0.7183418742
1.13	-1.521340682
