temps	angle
0	0
0.01	0.421943501
0.02	0.839342485
0.03	1.25189979
0.04	1.659325181
0.05	2.061335522
0.06	2.457654935
0.07	2.848014956
0.08	3.232154679
0.09	3.609820899
0.1	3.980768239
0.11	4.344759273
0.12	4.701564647
0.13	5.050963181
0.14	5.392741972
0.15	5.726696486
0.16	6.052630642
0.17	6.370356889
0.18	6.679696274
0.19	6.980478506
0.2	7.272542005
0.21	7.555733954
0.22	7.82991033
0.23	8.094935941
0.24	8.350684444
0.25	8.597038366
0.26	8.833889105
0.27	9.061136939
0.28	9.278691011
0.29	9.486469324
0.3	9.684398713
0.31	9.872414819
0.32	10.05046206
0.33	10.21849357
0.34	10.37647119
0.35	10.52436536
0.36	10.66215511
0.37	10.78982795
0.38	10.90737982
0.39	11.01481499
0.4	11.11214601
0.41	11.19939358
0.42	11.27658645
0.43	11.34376137
0.44	11.4009629
0.45	11.44824336
0.46	11.48566269
0.47	11.51328831
0.48	11.53119501
0.49	11.5394648
0.5	11.5381868
0.51	11.52745704
0.52	11.50737839
0.53	11.47806033
0.54	11.43961885
0.55	11.39217625
0.56	11.33586102
0.57	11.27080763
0.58	11.1971564
0.59	11.11505328
0.6	11.02464972
0.61	10.92610246
0.62	10.81957338
0.63	10.70522928
0.64	10.58324171
0.65	10.45378678
0.66	10.317045
0.67	10.17320102
0.68	10.02244351
0.69	9.864964925
0.7	9.70096131
0.71	9.53063212
0.72	9.354180013
0.73	9.171810652
0.74	8.983732506
0.75	8.790156654
0.76	8.591296586
0.77	8.387367998
0.78	8.178588602
0.79	7.965177918
0.8	7.747357086
0.81	7.525348657
0.82	7.299376409
0.83	7.06966514
0.84	6.83644048
0.85	6.599928695
0.86	6.360356498
0.87	6.117950855
0.88	5.872938798
0.89	5.625547238
0.9	5.376002779
0.91	5.124531539
0.92	4.871358964
0.93	4.616709654
0.94	4.360807183
0.95	4.103873932
0.96	3.846130912
0.97	3.5877976
0.98	3.329091774
0.99	3.070229349
1	2.811424222
1.01	2.552888113
1.02	2.294830416
1.03	2.037458048
1.04	1.780975306
1.05	1.525583723
1.06	1.271481934
1.07	1.018865538
1.08	0.7679269689
1.09	0.5188553703
1.1	0.2718364724
1.11	0.02705247348
1.12	-0.2153180744
1.13	-0.4551003754
1.14	-0.692123496
1.15	-0.9262204669
1.16	-1.15722838
1.17	-1.384988483
1.18	-1.609346266
1.19	-1.830151549
1.2	-2.047258558
1.21	-2.260526005
1.22	-2.469817157
1.23	-2.674999902
1.24	-2.875946815
1.25	-3.07253521
1.26	-3.2646472
1.27	-3.452169742
1.28	-3.634994681
1.29	-3.813018793
1.3	-3.986143819
1.31	-4.154276496
1.32	-4.317328583
1.33	-4.475216886
